zipcode,income_level,grade,borough,cuisine_description,score
10025,high income,A,MANHATTAN,Middle Eastern,9.71
10025,high income,A,MANHATTAN,Pakistani,11.4
10025,high income,A,MANHATTAN,Peruvian,11.5
10025,high income,A,MANHATTAN,Pizza,9.18
10025,high income,A,MANHATTAN,Pizza/Italian,10.29
10025,high income,A,MANHATTAN,Salads,8.0
10025,high income,A,MANHATTAN,Sandwiches,7.31
10025,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,9.0
10025,high income,A,MANHATTAN,Steak,9.75
10025,high income,A,MANHATTAN,Tex-Mex,10.0
10025,high income,A,MANHATTAN,Thai,9.83
10025,high income,A,MANHATTAN,Turkish,11.4
10025,high income,A,MANHATTAN,Vietnamese/Cambodian/Malaysia,11.33
10025,high income,B,MANHATTAN,American,21.2
10025,high income,B,MANHATTAN,Armenian,20.0
10025,high income,B,MANHATTAN,Asian,20.5
10025,high income,B,MANHATTAN,Bagels/Pretzels,23.0
10025,high income,B,MANHATTAN,Bakery,20.33
10025,high income,B,MANHATTAN,Caf̩/Coffee/Tea,15.33
10025,high income,B,MANHATTAN,Caribbean,21.0
10025,high income,B,MANHATTAN,Chicken,26.0
10025,high income,B,MANHATTAN,Chinese,20.71
10025,high income,B,MANHATTAN,Chinese/Cuban,18.0
10025,high income,B,MANHATTAN,Delicatessen,20.0
10025,high income,B,MANHATTAN,Ethiopian,16.0
10025,high income,B,MANHATTAN,Hamburgers,15.0
10025,high income,B,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",18.0
10025,high income,B,MANHATTAN,Indian,10.67
10025,high income,B,MANHATTAN,Japanese,20.67
10025,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18.67
10025,high income,B,MANHATTAN,Mediterranean,17.0
10025,high income,B,MANHATTAN,Mexican,21.25
10025,high income,B,MANHATTAN,Middle Eastern,22.5
10025,high income,B,MANHATTAN,Pakistani,20.0
10025,high income,B,MANHATTAN,Pizza,19.25
10025,high income,B,MANHATTAN,Tex-Mex,21.5
10025,high income,B,MANHATTAN,Thai,22.0
10025,high income,C,MANHATTAN,Asian,36.0
10025,high income,C,MANHATTAN,Bagels/Pretzels,41.0
10025,high income,C,MANHATTAN,Bakery,2.0
10025,high income,C,MANHATTAN,Chinese,20.0
10025,high income,C,MANHATTAN,Hamburgers,35.0
10025,high income,C,MANHATTAN,Indian,43.0
10025,high income,C,MANHATTAN,Italian,33.0
10025,high income,C,MANHATTAN,Japanese,31.0
10025,high income,C,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",41.0
10025,high income,C,MANHATTAN,Mediterranean,9.0
10025,high income,C,MANHATTAN,Mexican,46.0
10025,high income,C,MANHATTAN,Pizza,29.0
10025,high income,C,MANHATTAN,Pizza/Italian,33.0
10025,high income,C,MANHATTAN,Thai,32.0
10025,high income,P,MANHATTAN,American,4.0
10025,high income,P,MANHATTAN,Asian,5.0
10025,high income,P,MANHATTAN,Indian,2.0
10025,high income,P,MANHATTAN,Italian,9.0
10025,high income,P,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.0
10025,high income,P,MANHATTAN,Mexican,9.0
10025,high income,P,MANHATTAN,Pizza,3.0
10025,high income,P,MANHATTAN,Pizza/Italian,9.0
10025,high income,Z,MANHATTAN,American,2.0
10025,high income,Z,MANHATTAN,Chinese,5.5
10025,high income,Z,MANHATTAN,Japanese,16.5
10025,high income,Z,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",41.0
10025,high income,Z,MANHATTAN,Mexican,41.0
10025,high income,Z,MANHATTAN,Pizza,30.0
10025,high income,Z,MANHATTAN,Sandwiches,5.0
10026,high income,B,MANHATTAN,Hamburgers,18.0
10027,high income,A,MANHATTAN,American,9.12
10027,high income,A,MANHATTAN,Asian,8.0
10027,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.54
10027,high income,A,MANHATTAN,Chinese,10.0
10027,high income,A,MANHATTAN,Donuts,8.75
10027,high income,A,MANHATTAN,Ethiopian,11.0
10027,high income,A,MANHATTAN,French,10.25
10027,high income,A,MANHATTAN,Hamburgers,12.33
10027,high income,A,MANHATTAN,Indian,10.0
10027,high income,A,MANHATTAN,Italian,9.44
10027,high income,A,MANHATTAN,Japanese,8.0
10027,high income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",9.33
10027,high income,A,MANHATTAN,Mexican,8.0
10027,high income,A,MANHATTAN,Middle Eastern,7.0
10027,high income,A,MANHATTAN,Pizza,6.0
10027,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,7.86
10027,high income,A,MANHATTAN,Spanish,8.25
10027,high income,A,MANHATTAN,Tex-Mex,4.0
10027,high income,A,MANHATTAN,Vegetarian,7.25
10027,high income,B,MANHATTAN,American,21.5
10027,high income,B,MANHATTAN,Asian,15.0
10027,high income,B,MANHATTAN,Ethiopian,18.0
10027,high income,B,MANHATTAN,Hamburgers,18.0
10027,high income,B,MANHATTAN,Italian,23.0
10027,high income,B,MANHATTAN,Japanese,19.5
10027,high income,B,MANHATTAN,"Juice, Smoothies, Fruit Salads",15.0
10027,high income,B,MANHATTAN,Mexican,19.0
10027,high income,B,MANHATTAN,Sandwiches/Salads/Mixed Buffet,21.0
10027,high income,C,MANHATTAN,Asian,34.0
10027,high income,C,MANHATTAN,Caf̩/Coffee/Tea,37.0
10027,high income,C,MANHATTAN,Italian,33.0
10027,high income,P,MANHATTAN,Sandwiches/Salads/Mixed Buffet,14.0
10027,high income,Z,MANHATTAN,American,20.0
10028,high income,A,MANHATTAN,American,9.25
10028,high income,A,MANHATTAN,Bagels/Pretzels,9.27
10028,high income,A,MANHATTAN,Bakery,6.67
10028,high income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",12.33
10028,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.33
10028,high income,A,MANHATTAN,Chinese,11.0
10028,high income,A,MANHATTAN,Chinese/Japanese,10.5
10028,high income,A,MANHATTAN,Continental,11.33
10028,high income,A,MANHATTAN,Donuts,7.42
10028,high income,A,MANHATTAN,Eastern European,9.25
10028,high income,A,MANHATTAN,French,8.5
10028,high income,A,MANHATTAN,German,9.75
10028,high income,A,MANHATTAN,Greek,11.25
10028,high income,A,MANHATTAN,Hamburgers,9.33
10028,high income,A,MANHATTAN,Hotdogs,9.75
10028,high income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",7.0
10028,high income,A,MANHATTAN,Indian,8.67
10028,high income,A,MANHATTAN,Irish,9.82
10028,high income,A,MANHATTAN,Italian,9.08
10028,high income,A,MANHATTAN,Japanese,8.94
10028,high income,A,MANHATTAN,Jewish/Kosher,9.12
10028,high income,A,MANHATTAN,Mediterranean,10.25
10028,high income,A,MANHATTAN,Mexican,10.36
10028,high income,A,MANHATTAN,Pizza,9.42
10028,high income,A,MANHATTAN,Pizza/Italian,10.0
10028,high income,A,MANHATTAN,Sandwiches,7.62
10028,high income,A,MANHATTAN,Seafood,10.5
10028,high income,A,MANHATTAN,Tex-Mex,9.5
10028,high income,A,MANHATTAN,Thai,10.86
10028,high income,A,MANHATTAN,Turkish,8.0
10028,high income,B,MANHATTAN,American,20.83
10028,high income,B,MANHATTAN,Bagels/Pretzels,23.0
10028,high income,B,MANHATTAN,Eastern European,22.0
10028,high income,B,MANHATTAN,French,16.5
10028,high income,B,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",19.0
10028,high income,B,MANHATTAN,Indian,19.0
10028,high income,B,MANHATTAN,Irish,25.0
10028,high income,B,MANHATTAN,Italian,27.0
10028,high income,B,MANHATTAN,Japanese,19.0
10028,high income,B,MANHATTAN,Jewish/Kosher,18.5
10028,high income,B,MANHATTAN,Pizza,13.0
10028,high income,B,MANHATTAN,Sandwiches,25.0
10028,high income,B,MANHATTAN,Thai,21.0
10028,high income,C,MANHATTAN,American,37.0
10028,high income,C,MANHATTAN,Chinese,11.0
10028,high income,C,MANHATTAN,Italian,37.0
10028,high income,C,MANHATTAN,Japanese,60.0
10028,high income,C,MANHATTAN,Thai,37.0
10028,high income,P,MANHATTAN,American,11.0
10028,high income,P,MANHATTAN,Indian,5.0
10028,high income,P,MANHATTAN,Jewish/Kosher,9.0
10028,high income,Z,MANHATTAN,American,13.0
10028,high income,Z,MANHATTAN,Indian,37.0
10028,high income,Z,MANHATTAN,Japanese,9.0
10028,high income,Z,MANHATTAN,Pizza,23.0
10028,high income,Z,MANHATTAN,Sandwiches,19.0
10028,low income,A,MANHATTAN,American,9.6
10028,low income,A,MANHATTAN,Caf̩/Coffee/Tea,3.33
10028,low income,A,MANHATTAN,Continental,10.67
10028,low income,A,MANHATTAN,Italian,10.5
10028,low income,A,MANHATTAN,Japanese,9.5
10028,low income,A,MANHATTAN,Mexican,11.33
10028,low income,A,MANHATTAN,Pizza,9.67
10028,low income,B,MANHATTAN,American,24.0
10028,low income,B,MANHATTAN,Pizza,-1.0
10028,medium income,A,MANHATTAN,American,11.29
10028,medium income,A,MANHATTAN,Caf̩/Coffee/Tea,3.67
10028,medium income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",5.75
10028,medium income,A,MANHATTAN,Italian,6.75
10028,medium income,A,MANHATTAN,Japanese,6.67
10028,medium income,A,MANHATTAN,Pizza,8.0
10028,medium income,A,MANHATTAN,Sandwiches,3.0
10028,medium income,B,MANHATTAN,American,23.5
10028,medium income,B,MANHATTAN,Sandwiches,25.0
10028,medium income,Z,MANHATTAN,American,5.0
10028,medium income,Z,MANHATTAN,Pizza,23.0
10028,medium income,Z,MANHATTAN,Sandwiches,19.0
10029,high income,A,MANHATTAN,American,9.11
10029,high income,A,MANHATTAN,Armenian,7.0
10029,high income,A,MANHATTAN,Asian,10.4
10029,high income,A,MANHATTAN,Bakery,7.64
10029,high income,A,MANHATTAN,Caf̩/Coffee/Tea,8.12
10029,high income,A,MANHATTAN,Caribbean,7.6
10029,high income,A,MANHATTAN,Chicken,10.43
10029,high income,A,MANHATTAN,Chinese,9.68
10029,high income,A,MANHATTAN,Chinese/Japanese,10.33
10029,high income,A,MANHATTAN,Delicatessen,8.0
10029,high income,A,MANHATTAN,Donuts,6.25
10029,high income,A,MANHATTAN,Hamburgers,9.45
10029,high income,A,MANHATTAN,Indian,11.25
10029,high income,A,MANHATTAN,Italian,10.33
10029,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.5
10029,high income,A,MANHATTAN,Mediterranean,9.25
10029,high income,A,MANHATTAN,Mexican,9.55
10029,high income,A,MANHATTAN,Moroccan,12.0
10029,high income,A,MANHATTAN,Other,3.0
10029,high income,A,MANHATTAN,Pakistani,7.0
10029,high income,A,MANHATTAN,Peruvian,9.75
10029,high income,A,MANHATTAN,Pizza,9.44
10029,high income,A,MANHATTAN,Polynesian,11.0
10029,high income,A,MANHATTAN,Sandwiches,7.36
10029,high income,A,MANHATTAN,Seafood,12.67
10029,high income,A,MANHATTAN,Spanish,10.17
10029,high income,A,MANHATTAN,Steak,9.5
10029,high income,A,MANHATTAN,Tex-Mex,9.0
10029,high income,A,MANHATTAN,Thai,9.86
10029,high income,B,MANHATTAN,American,19.9
10029,high income,B,MANHATTAN,Bakery,15.0
10029,high income,B,MANHATTAN,Chinese,20.4
10029,high income,B,MANHATTAN,Chinese/Japanese,17.0
10029,high income,B,MANHATTAN,Delicatessen,17.0
10029,high income,B,MANHATTAN,Hamburgers,26.0
10029,high income,B,MANHATTAN,Indian,14.0
10029,high income,B,MANHATTAN,Jewish/Kosher,18.5
10029,high income,B,MANHATTAN,"Juice, Smoothies, Fruit Salads",14.0
10029,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",17.88
10029,high income,B,MANHATTAN,Mexican,21.18
10029,high income,B,MANHATTAN,Pizza,19.5
10029,high income,B,MANHATTAN,Polynesian,19.33
10029,high income,B,MANHATTAN,Sandwiches,16.0
10029,high income,B,MANHATTAN,Seafood,14.0
10029,high income,B,MANHATTAN,Thai,21.0
10029,high income,C,MANHATTAN,American,39.5
10029,high income,C,MANHATTAN,Hamburgers,35.0
10029,high income,C,MANHATTAN,"Juice, Smoothies, Fruit Salads",39.0
10029,high income,C,MANHATTAN,Mexican,36.0
10029,high income,C,MANHATTAN,Polynesian,29.0
10029,high income,C,MANHATTAN,Seafood,33.0
10029,high income,C,MANHATTAN,Steak,41.0
10029,high income,P,MANHATTAN,American,2.0
10029,high income,P,MANHATTAN,Delicatessen,4.0
10029,high income,P,MANHATTAN,Indian,5.0
10029,high income,P,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0
10029,high income,P,MANHATTAN,Seafood,2.0
10029,high income,Z,MANHATTAN,American,25.0
10029,high income,Z,MANHATTAN,Moroccan,2.0
10029,high income,Z,MANHATTAN,Thai,16.0
10029,low income,A,MANHATTAN,American,9.86
10029,low income,A,MANHATTAN,Chinese,9.75
10029,low income,A,MANHATTAN,Chinese/Japanese,10.33
10029,low income,A,MANHATTAN,Donuts,7.8
10029,low income,A,MANHATTAN,Hamburgers,8.75
10029,low income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0
10029,low income,A,MANHATTAN,Mexican,8.73
10029,low income,A,MANHATTAN,Pizza,8.0
10029,low income,A,MANHATTAN,Sandwiches,7.33
10029,low income,A,MANHATTAN,Spanish,9.75
10029,low income,B,MANHATTAN,American,21.0
10029,low income,B,MANHATTAN,Chinese/Japanese,17.0
10029,low income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.0
10029,low income,B,MANHATTAN,Sandwiches,16.0
10029,low income,P,MANHATTAN,American,2.0
10029,low income,P,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0
10029,low income,Z,MANHATTAN,American,25.0
10029,medium income,A,MANHATTAN,Caribbean,6.5
10029,medium income,A,MANHATTAN,Chinese,7.33
10029,medium income,A,MANHATTAN,Polynesian,11.0
10029,medium income,B,MANHATTAN,Polynesian,19.33
10029,medium income,C,MANHATTAN,Polynesian,29.0
10031,high income,A,MANHATTAN,American,10.2
10031,high income,A,MANHATTAN,Asian,11.57
10031,high income,A,MANHATTAN,Bakery,9.56
10031,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.83
10031,high income,A,MANHATTAN,Caribbean,10.4
10031,high income,A,MANHATTAN,Chicken,8.73
10031,high income,A,MANHATTAN,Chilean,10.8
10031,high income,A,MANHATTAN,Chinese,9.76
10031,high income,A,MANHATTAN,Donuts,6.25
10031,high income,A,MANHATTAN,Hamburgers,8.5
10031,high income,A,MANHATTAN,Indian,9.25
10031,high income,A,MANHATTAN,Italian,9.83
10031,high income,A,MANHATTAN,Japanese,12.0
10031,high income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",8.0
10031,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.85
10031,high income,A,MANHATTAN,Mexican,9.1
10031,high income,A,MANHATTAN,Middle Eastern,6.75
10031,high income,A,MANHATTAN,Pizza,8.1
10031,high income,A,MANHATTAN,Pizza/Italian,10.0
10031,high income,A,MANHATTAN,Sandwiches,10.17
10031,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,3.75
10031,high income,A,MANHATTAN,Spanish,11.45
10031,high income,A,MANHATTAN,Tex-Mex,11.67
10031,high income,B,MANHATTAN,American,16.25
10031,high income,B,MANHATTAN,Asian,20.0
10031,high income,B,MANHATTAN,Bakery,22.0
10031,high income,B,MANHATTAN,Chicken,18.0
10031,high income,B,MANHATTAN,Chinese,21.0
10031,high income,B,MANHATTAN,Hamburgers,23.0
10031,high income,B,MANHATTAN,Italian,19.6
10031,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23.0
10031,high income,B,MANHATTAN,Mexican,20.0
10031,high income,B,MANHATTAN,Middle Eastern,14.0
10031,high income,B,MANHATTAN,Pizza,19.5
10031,high income,B,MANHATTAN,Sandwiches,17.0
10031,high income,B,MANHATTAN,Spanish,16.33
10031,high income,C,MANHATTAN,Bakery,24.5
10031,high income,C,MANHATTAN,Chinese,20.67
10031,high income,C,MANHATTAN,Hamburgers,28.0
10031,high income,C,MANHATTAN,Italian,7.0
10031,high income,C,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",33.0
10031,high income,C,MANHATTAN,Mexican,29.0
10031,high income,C,MANHATTAN,Pizza,34.0
10031,high income,C,MANHATTAN,Spanish,32.0
10031,high income,C,MANHATTAN,Tex-Mex,44.0
10031,high income,P,MANHATTAN,Asian,2.0
10031,high income,P,MANHATTAN,Bakery,4.5
10031,high income,P,MANHATTAN,Chinese,5.0
10031,high income,Z,MANHATTAN,Caf̩/Coffee/Tea,17.0
10031,high income,Z,MANHATTAN,Mexican,21.0
10031,high income,Z,MANHATTAN,Pizza/Italian,21.0
10032,high income,A,MANHATTAN,American,9.98
10032,high income,A,MANHATTAN,Bagels/Pretzels,6.2
10032,high income,A,MANHATTAN,Bakery,10.12
10032,high income,A,MANHATTAN,Barbecue,8.5
10032,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.44
10032,high income,A,MANHATTAN,Chicken,8.83
10032,high income,A,MANHATTAN,Chinese,9.93
10032,high income,A,MANHATTAN,Chinese/Cuban,10.33
10032,high income,A,MANHATTAN,Donuts,9.29
10032,high income,A,MANHATTAN,Hamburgers,8.67
10032,high income,A,MANHATTAN,Italian,5.33
10032,high income,A,MANHATTAN,Korean,7.67
10032,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.73
10032,high income,A,MANHATTAN,Mexican,10.86
10032,high income,A,MANHATTAN,Pizza,9.04
10032,high income,A,MANHATTAN,Pizza/Italian,8.5
10032,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,7.67
10032,high income,A,MANHATTAN,Seafood,11.0
10032,high income,A,MANHATTAN,Spanish,8.86
10032,high income,A,MANHATTAN,Tex-Mex,9.67
10032,high income,B,MANHATTAN,American,16.0
10032,high income,B,MANHATTAN,Bakery,19.67
10032,high income,B,MANHATTAN,Caf̩/Coffee/Tea,25.0
10032,high income,B,MANHATTAN,Chinese,19.43
10032,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.45
10032,high income,B,MANHATTAN,Mexican,22.0
10032,high income,B,MANHATTAN,Pizza,21.0
10032,high income,B,MANHATTAN,Seafood,23.0
10032,high income,B,MANHATTAN,Spanish,17.67
10032,high income,C,MANHATTAN,American,34.0
10032,high income,C,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",29.8
10032,high income,C,MANHATTAN,Seafood,25.33
10032,high income,P,MANHATTAN,American,2.0
10032,high income,P,MANHATTAN,Chinese,2.0
10032,high income,P,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5.0
10032,high income,P,MANHATTAN,Mexican,9.0
10032,high income,P,MANHATTAN,Pizza,2.0
10032,high income,P,MANHATTAN,Pizza/Italian,4.0
10032,high income,P,MANHATTAN,Spanish,2.5
10032,high income,Z,MANHATTAN,American,19.0
10032,high income,Z,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0
10032,high income,Z,MANHATTAN,Seafood,15.5
10032,low income,A,MANHATTAN,Caf̩/Coffee/Tea,9.67
10032,low income,A,MANHATTAN,Delicatessen,11.0
10032,low income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,7.25
10032,low income,B,MANHATTAN,Caf̩/Coffee/Tea,20.0
10032,low income,B,MANHATTAN,Delicatessen,25.0
10032,low income,B,MANHATTAN,Sandwiches/Salads/Mixed Buffet,19.0
10032,low income,Z,MANHATTAN,Delicatessen,2.0
10033,high income,A,MANHATTAN,American,8.75
10033,high income,A,MANHATTAN,Bakery,9.75
10033,high income,A,MANHATTAN,Caf̩/Coffee/Tea,2.0
10033,high income,A,MANHATTAN,Chinese,9.08
10033,high income,A,MANHATTAN,Donuts,11.0
10033,high income,A,MANHATTAN,Hamburgers,7.5
10033,high income,A,MANHATTAN,Jewish/Kosher,10.0
10033,high income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",8.0
10033,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.84
10033,high income,A,MANHATTAN,Pizza,9.8
10033,high income,A,MANHATTAN,Sandwiches,6.0
10033,high income,A,MANHATTAN,Soups & Sandwiches,11.33
10033,high income,A,MANHATTAN,Spanish,8.22
10033,high income,A,MANHATTAN,Tapas,10.67
10033,high income,B,MANHATTAN,American,16.0
10033,high income,B,MANHATTAN,Chinese,18.0
10033,high income,B,MANHATTAN,Donuts,17.0
10033,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23.0
10033,high income,B,MANHATTAN,Pizza,18.0
10033,high income,B,MANHATTAN,Soups & Sandwiches,21.0
10033,high income,B,MANHATTAN,Tapas,17.0
10033,high income,C,MANHATTAN,Chinese,32.0
10033,high income,C,MANHATTAN,Delicatessen,29.0
10033,high income,P,MANHATTAN,Jewish/Kosher,2.0
10033,high income,P,MANHATTAN,Pizza,10.0
10033,high income,Z,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2.0
10034,high income,A,MANHATTAN,American,9.4
10034,high income,A,MANHATTAN,Armenian,12.0
10034,high income,A,MANHATTAN,Bakery,9.5
10034,high income,A,MANHATTAN,Caf̩/Coffee/Tea,5.71
10034,high income,A,MANHATTAN,Chicken,13.0
10034,high income,A,MANHATTAN,Chinese,10.17
10034,high income,A,MANHATTAN,Donuts,10.33
10034,high income,A,MANHATTAN,Eastern European,13.0
10034,high income,A,MANHATTAN,Irish,9.0
10034,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8.88
10034,high income,A,MANHATTAN,Mexican,12.0
10034,high income,A,MANHATTAN,Pizza,10.09
10034,high income,A,MANHATTAN,Pizza/Italian,9.17
10034,high income,A,MANHATTAN,Thai,7.0
10034,high income,B,MANHATTAN,American,15.33
10034,high income,B,MANHATTAN,Chinese,18.0
10034,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",14.0
10034,high income,B,MANHATTAN,Pizza,19.0
10034,high income,C,MANHATTAN,American,9.0
10034,high income,C,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",39.5
10034,high income,P,MANHATTAN,Pizza,2.0
10034,medium income,A,MANHATTAN,Chinese,8.67
10034,medium income,A,MANHATTAN,Donuts,5.75
10034,medium income,A,MANHATTAN,Hamburgers,8.25
10034,medium income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.36
10034,medium income,A,MANHATTAN,Mexican,9.7
10034,medium income,A,MANHATTAN,Spanish,9.67
10034,medium income,B,MANHATTAN,Hamburgers,17.0
10034,medium income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",16.0
10034,medium income,B,MANHATTAN,Mexican,17.5
10034,medium income,C,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",48.0
10034,medium income,C,MANHATTAN,Mexican,41.0
10034,medium income,P,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0
10035,high income,A,MANHATTAN,American,8.54
10035,high income,A,MANHATTAN,Bakery,8.0
10035,high income,A,MANHATTAN,Caribbean,10.71
10035,high income,A,MANHATTAN,Chinese,8.91
10035,high income,A,MANHATTAN,Delicatessen,12.0
10035,high income,A,MANHATTAN,Donuts,8.83
10035,high income,A,MANHATTAN,Hamburgers,9.22
10035,high income,A,MANHATTAN,Indian,8.6
10035,high income,A,MANHATTAN,Italian,11.0
10035,high income,A,MANHATTAN,Japanese,7.5
10035,high income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",5.0
10035,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.6
10035,high income,A,MANHATTAN,Mexican,8.0
10035,high income,A,MANHATTAN,Pancakes/Waffles,12.33
10035,high income,A,MANHATTAN,Pizza,8.4
10035,high income,A,MANHATTAN,Sandwiches,7.1
10035,high income,A,MANHATTAN,Spanish,8.0
10035,high income,B,MANHATTAN,Caribbean,17.5
10035,high income,B,MANHATTAN,Chinese,25.0
10035,high income,B,MANHATTAN,Delicatessen,24.0
10035,high income,B,MANHATTAN,Italian,16.5
10035,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18.5
10035,high income,C,MANHATTAN,Caribbean,37.0
10035,high income,C,MANHATTAN,Chinese,28.0
10035,high income,C,MANHATTAN,Spanish,35.5
10035,high income,P,MANHATTAN,Bakery,2.0
10035,high income,P,MANHATTAN,Pizza,11.0
10035,high income,P,MANHATTAN,Sandwiches,3.0
10035,high income,Z,MANHATTAN,Caribbean,1.5
10035,high income,Z,MANHATTAN,Thai,27.0
10035,low income,A,MANHATTAN,Bakery,6.33
10035,low income,A,MANHATTAN,Chinese,9.25
10035,low income,A,MANHATTAN,Hamburgers,9.2
10035,low income,A,MANHATTAN,Indian,8.6
10035,low income,A,MANHATTAN,Italian,11.0
10035,low income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.25
10035,low income,A,MANHATTAN,Mexican,8.0
10035,low income,A,MANHATTAN,Pizza,8.4
10035,low income,B,MANHATTAN,Chinese,25.0
10035,low income,B,MANHATTAN,Italian,16.5
10035,low income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",26.0
10035,low income,P,MANHATTAN,Pizza,11.0
10035,medium income,A,MANHATTAN,American,8.67
10035,medium income,A,MANHATTAN,Chinese,7.86
10035,medium income,C,MANHATTAN,Chinese,28.0
10036,high income,A,MANHATTAN,American,8.34
10036,high income,A,MANHATTAN,Bakery,6.8
10036,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.25
10036,high income,A,MANHATTAN,Hamburgers,9.67
10036,high income,A,MANHATTAN,Indian,7.0
10036,high income,A,MANHATTAN,Italian,10.4
10036,high income,A,MANHATTAN,Mexican,9.0
10036,high income,A,MANHATTAN,Other,9.0
10036,high income,A,MANHATTAN,Sandwiches,8.75
10036,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,8.25
10036,high income,A,MANHATTAN,Seafood,3.75
10036,high income,A,MANHATTAN,Soups & Sandwiches,11.0
10036,high income,A,MANHATTAN,Steak,9.0
10036,high income,B,MANHATTAN,American,24.0
10036,high income,B,MANHATTAN,Bakery,18.0
10036,high income,B,MANHATTAN,Caf̩/Coffee/Tea,18.0
10036,high income,C,MANHATTAN,American,42.0
10036,medium income,A,MANHATTAN,American,9.31
10036,medium income,A,MANHATTAN,Asian,11.2
10036,medium income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",12.5
10036,medium income,A,MANHATTAN,Brazilian,7.0
10036,medium income,A,MANHATTAN,Caf̩/Coffee/Tea,9.5
10036,medium income,A,MANHATTAN,Chicken,10.67
10036,medium income,A,MANHATTAN,Chinese,10.17
10036,medium income,A,MANHATTAN,Donuts,10.0
10036,medium income,A,MANHATTAN,Ethiopian,12.33
10036,medium income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",7.5
10036,medium income,A,MANHATTAN,Irish,8.8
10036,medium income,A,MANHATTAN,Italian,8.0
10036,medium income,A,MANHATTAN,Japanese,10.33
10036,medium income,A,MANHATTAN,Korean,10.17
10036,medium income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.5
