DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
COLUMBUS AVE DELI & CAFE,MANHATTAN,COLUMBUS AVENUE,Delicatessen,13.0,A,05/27/2016,high income
LA MONEDA RESTAURANT,BRONX,JEROME AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,10/29/2014,low income
JG MELON RESTAURANT,MANHATTAN,3 AVENUE,American,24.0,B,02/18/2014,high income
WOODROW DINER,STATEN ISLAND,ROSSVILLE AVENUE,American,13.0,A,11/22/2016,medium income
MARUZZELLA,MANHATTAN,FIRST AVENUE,Italian,12.0,A,04/29/2014,high income
THE WAY STATION,BROOKLYN,WASHINGTON AVENUE,American,11.0,A,12/14/2015,medium income
EL VALLE RESTAURANT,BRONX,WESTCHESTER AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0,A,08/26/2016,low income
BARNES & NOBLE CAFE,MANHATTAN,WARREN STREET,CafÃ©/Coffee/Tea,10.0,A,05/19/2015,high income
VERDI RESTAURANT,QUEENS,CROSS ISLAND PARKWAY,Italian,10.0,A,06/11/2015,medium income
RIVIERA,QUEENS,STEINWAY STREET,American,9.0,A,05/12/2015,medium income
THE TAP HOUSE,QUEENS,AUSTIN STREET,Irish,34.0,C,03/26/2015,medium income
CHECKERS,QUEENS,QUEENS PLAZA SOUTH,Hamburgers,11.0,A,09/14/2015,medium income
SUN SAI GAI RESTAURANT,MANHATTAN,CANAL STREET,Chinese,12.0,A,04/06/2016,high income
BOBBY VAN'S STEAKHOUSE,MANHATTAN,EAST   54 STREET,Steak,12.0,A,04/15/2016,high income
LEXINGTON BAR AND BOOKS,MANHATTAN,LEXINGTON AVENUE,American,12.0,A,03/10/2017,high income
VALBELLA MIDTOWN,MANHATTAN,MADISON AVENUE,American,32.0,C,09/08/2014,high income
KASBAH BBQ & GRILL,MANHATTAN,WEST   85 STREET,Jewish/Kosher,13.0,A,10/21/2014,high income
KMR,MANHATTAN,MADISON AVE FL 1ST,American,12.0,A,05/02/2016,high income
RAY'S CANDY STORE,MANHATTAN,AVENUE A,American,13.0,A,08/29/2016,medium income
THE HUMMUS & PITA CO.,MANHATTAN,CHAMBERS STREET,Mediterranean,11.0,A,09/16/2014,high income
BOSTON MARKET,QUEENS,71 AVENUE,American,11.0,A,11/17/2015,medium income
MCDONALD'S,MANHATTAN,3 AVENUE,Hamburgers,4.0,A,03/12/2014,high income
MCDONALD'S,MANHATTAN,3 AVENUE,Hamburgers,4.0,A,03/12/2014,low income
SIP SAK,MANHATTAN,2 AVENUE,Turkish,9.0,A,10/31/2014,high income
CAPITALE,MANHATTAN,BOWERY,Continental,9.0,A,05/21/2014,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,8.0,A,02/26/2016,high income
YUCA BAR & RESTAURANT,MANHATTAN,AVENUE A,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13.0,A,11/10/2015,medium income
TERRACE INN,QUEENS,FRANCIS LEWIS BOULEVARD,American,8.0,A,06/28/2017,medium income
CAPITALE,MANHATTAN,BOWERY,Continental,12.0,A,12/28/2016,high income
STARBUCKS COFFEE,MANHATTAN,WORLD TRADE CENTER,CafÃ©/Coffee/Tea,9.0,A,05/23/2017,high income
STARBUCKS,MANHATTAN,WEST   73 STREET,CafÃ©/Coffee/Tea,13.0,A,07/06/2016,high income
WHITESTONE BAGEL FACTORY,QUEENS,149 STREET,Delicatessen,10.0,A,04/23/2015,medium income
HARNEY & SONS TEA,MANHATTAN,BROOME STREET,CafÃ©/Coffee/Tea,7.0,A,02/07/2017,high income
IL POETA,QUEENS,METROPOLITAN AVENUE,Italian,6.0,A,02/19/2015,medium income
SUBWAY,MANHATTAN,1 AVENUE,Sandwiches,2.0,A,06/04/2015,high income
LABELLA FERRARA,MANHATTAN,MULBERRY STREET,Bakery,13.0,A,04/29/2016,high income
LILLI AND LOO,MANHATTAN,LEXINGTON AVENUE,Asian,17.0,B,01/05/2017,high income
ALICES TEA CUP CHAPTER 2,MANHATTAN,EAST   64 STREET,American,11.0,P,03/24/2017,high income
BARRE CAFE AT STEPS,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,12.0,A,05/27/2015,high income
MURASAKI SUSHI,QUEENS,VERNON BLVD,Japanese,9.0,A,10/08/2015,medium income
ALI BABA'S TERRACE,MANHATTAN,2 AVENUE,Turkish,13.0,A,07/16/2015,high income
POTBELLY SANDWICH WORKS,MANHATTAN,EAST   44 STREET,American,9.0,A,04/02/2015,high income
DEGREZIA,MANHATTAN,EAST   50 STREET,Italian,13.0,A,04/21/2016,high income
PANDA,QUEENS,YELLOWSTONE BLVD,Chinese,12.0,A,05/01/2016,medium income
MISS LILY'S 7A,MANHATTAN,AVENUE A,Caribbean,12.0,A,03/24/2015,medium income
EET,MANHATTAN,VARICK STREET,American,8.0,A,02/25/2016,high income
PERRINE,MANHATTAN,EAST   61 STREET,American,10.0,A,10/04/2013,high income
LA GOURMET,MANHATTAN,EAST   58 STREET,American,12.0,A,05/21/2015,high income
STARBUCKS,MANHATTAN,EAST   53 STREET,CafÃ©/Coffee/Tea,12.0,A,04/21/2015,high income
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BROOKLYN,FULTON STREET,Caribbean,19.0,B,02/25/2016,medium income
OLI 99Â¢ FRESH PIZZA,BRONX,EAST BURNSIDE AVENUE,Pizza,11.0,A,01/26/2017,low income
MAMA EATERY,MANHATTAN,MULBERRY STREET,American,33.0,C,09/30/2015,high income
E.A.T. CAFE,MANHATTAN,MADISON AVENUE,American,9.0,A,06/09/2017,high income
TAO RESTAURANT,MANHATTAN,EAST   58 STREET,Asian,9.0,A,08/10/2015,high income
AKIMOTO SUSHI,MANHATTAN,CHURCH STREET,Japanese,34.0,C,08/01/2014,high income
PRET A MANGER,MANHATTAN,BROADWAY,American,9.0,A,05/18/2015,high income
MUMTAZ,MANHATTAN,YORK AVENUE,Indian,12.0,A,03/23/2015,high income
SIMPLY BAKERY,MANHATTAN,BAYARD STREET,Bakery,21.0,B,03/10/2015,high income
MICHAEL'S BAGELS,QUEENS,ASCAN AVENUE,Bagels/Pretzels,9.0,A,04/26/2016,medium income
ROSA'S CAFE,QUEENS,38 AVENUE,Spanish,14.0,B,02/24/2015,medium income
PICK-A-BAGEL/DUMPLING ROOM,MANHATTAN,WEST END AVENUE,American,12.0,A,10/19/2016,high income
PRET A MANGER,MANHATTAN,3 AVENUE,Sandwiches,12.0,A,02/03/2015,high income
CHINA RED GOURMENT,MANHATTAN,CHAMBERS STREET,Chinese,7.0,A,08/20/2015,high income
NELLO,MANHATTAN,MADISON AVENUE,Italian,9.0,A,05/31/2017,high income
OTTO'S SHRUNKEN HEAD,MANHATTAN,EAST   14 STREET,American,7.0,A,12/07/2016,medium income
IGGY'S,MANHATTAN,2 AVENUE,American,11.0,A,05/21/2015,high income
TASTY HAND-PULLED NOODLES,MANHATTAN,DOYERS STREET,Chinese,27.0,B,01/13/2016,high income
THE BREUKELEN COFFEE HOUSE,BROOKLYN,FRANKLIN AVENUE,CafÃ©/Coffee/Tea,13.0,A,01/15/2016,medium income
SUBWAY,QUEENS,QUEENS BOULEVARD,Sandwiches,10.0,A,04/09/2016,medium income
THREE GUY'S RESTAURANT,MANHATTAN,MADISON AVENUE,American,11.0,A,01/30/2015,high income
FAIRFIELD INN & SUITES,QUEENS,40 ROAD,Continental,12.0,A,03/25/2014,medium income
CASSIANO'S PIZZA,MANHATTAN,3 AVENUE,Pizza,19.0,B,06/22/2016,high income
LOCANDA VERDE,MANHATTAN,GREENWICH STREET,Italian,12.0,A,02/19/2016,high income
MY KITCHEN,QUEENS,METROPOLITAN AVENUE,Continental,12.0,A,12/03/2014,medium income
LITTLE CAESARS,BRONX,WEST MOUNT EDEN AVENUE,Pizza,11.0,A,03/03/2014,low income
DIRTY PIERRES BISTRO,QUEENS,STATION SQUARE,French,23.0,B,05/02/2016,medium income
BOSTON MARKET,QUEENS,BELL BOULEVARD,American,13.0,A,03/12/2015,medium income
SUN FUNG CHINESE RESTAURANT,BRONX,MARCY PLACE,Chinese,10.0,A,05/24/2017,low income
RUINAS DE COPAN,BRONX,BROOK AVENUE,Spanish,12.0,A,08/25/2016,low income
MIMI JAPANESE RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,Japanese,11.0,A,03/17/2014,high income
LUCKY PIZZA,QUEENS,BRIDGE PLAZA SOUTH,Pizza,7.0,A,10/08/2015,medium income
KETSIE GROCERY,BRONX,E 149TH ST,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",49.0,C,10/06/2015,low income
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,MANHATTAN,W 79 STREET,American,12.0,A,02/29/2016,high income
COLONY CLUB,MANHATTAN,PARK AVENUE,American,9.0,A,02/23/2015,high income
CHUCK E. CHEESE'S,QUEENS,NORTHERN BOULEVARD,Armenian,40.0,C,02/15/2017,medium income
CORNER BISTRO,QUEENS,VERNON BOULEVARD,American,19.0,B,04/28/2015,medium income
BARNES & NOBLE CAFE,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,13.0,A,01/13/2017,high income
BLEND,QUEENS,VERNON BOULEVARD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,12/02/2014,medium income
SUBWAY,BRONX,BOSTON ROAD,Sandwiches,12.0,A,04/28/2015,low income
ALITALIA PIZZA RESTAURANT,BRONX,EAST TREMONT AVENUE,Pizza,10.0,A,11/17/2015,low income
PALM TOO,MANHATTAN,2 AVENUE,American,3.0,A,03/09/2017,high income
LINKS CLUB,MANHATTAN,EAST   62 STREET,American,12.0,A,05/31/2017,high income
PERSEPOLIS,MANHATTAN,2 AVENUE,Mediterranean,13.0,A,11/03/2016,high income
SOUTHSIDE CAFE (Produce Market),BRONX,HUNTS POINT TERMINAL MARKET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,09/18/2015,low income
GOLDEN CHOPSTICKS CHINESE RESTAURANT,BROOKLYN,FRANKLIN AVENUE,Chinese,12.0,A,02/04/2016,medium income
NEW WOKS KITCHEN,QUEENS,KISSENA BLVD,Chinese,13.0,A,01/26/2016,low income
STARBUCKS,MANHATTAN,3 AVENUE,CafÃ©/Coffee/Tea,10.0,A,02/03/2015,high income
CAFE CORTADITO,MANHATTAN,EAST    3 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.0,A,08/26/2014,medium income
FRANCO BAKERY,BRONX,EAST  138 STREET,Bakery,25.0,B,11/10/2016,low income
MI PUEBLITO BAKERY/COMIDA TIPICA MEXICANA,BRONX,EAST  167 STREET,Mexican,24.0,B,06/14/2016,low income
TERRA,MANHATTAN,WEST BROADWAY,Italian,26.0,B,08/04/2014,high income
DESERT RAIN LOUNGE,QUEENS,METROPOLITAN AVE,American,2.0,A,10/21/2016,medium income
ELI'S TABLE,MANHATTAN,3 AVENUE,American,9.0,A,06/11/2015,high income
BRADY'S BAR,MANHATTAN,2 AVENUE,American,12.0,A,02/11/2015,high income
TIELLA RESTAURANT,MANHATTAN,1 AVENUE,Italian,8.0,A,02/02/2016,high income
DOMAINE WINE BAR,QUEENS,VERNON BOULEVARD,French,10.0,A,04/11/2014,medium income
PHYSICAL GRAFFITI,MANHATTAN,ST MARKS PLACE,CafÃ©/Coffee/Tea,7.0,A,08/17/2016,medium income
PEARL GARDEN CHINESE RESTAURANT,QUEENS,14 AVENUE,Chinese,12.0,A,12/24/2014,medium income
MALACHY'S,MANHATTAN,WEST   72 STREET,Irish,11.0,A,07/24/2017,high income
BENITO ONE,MANHATTAN,MULBERRY STREET,Italian,10.0,A,11/14/2016,high income
BODRUM,MANHATTAN,AMSTERDAM AVENUE,Mediterranean,5.0,A,01/12/2015,high income
CAFFE NAPOLI,MANHATTAN,HESTER STREET,Italian,9.0,A,05/19/2015,high income
MARY O'S,MANHATTAN,AVENUE A,American,10.0,A,11/01/2016,medium income
MATIZ LATIN CUISINE,QUEENS,QUEENS BLVD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13.0,A,08/02/2016,medium income
PRET A MANGER,MANHATTAN,LEXINGTON AVENUE,Sandwiches,2.0,A,10/03/2014,high income
FELIDIA RESTAURANT,MANHATTAN,EAST   58 STREET,Italian,9.0,A,04/22/2015,high income
DEE'S RESTAURANT,QUEENS,METROPOLITAN AVENUE,Italian,12.0,A,06/12/2014,medium income
AMERICAN HERO & SUB'S,QUEENS,44 DRIVE,Sandwiches,13.0,A,09/06/2016,medium income
SUNSHINE CO.,BROOKLYN,WASHINGTON AVENUE,American,10.0,A,02/15/2017,medium income
CARNATION BAKERY,QUEENS,KISSENA BOULEVARD,Bakery,23.0,B,01/08/2015,low income
CHARLEY MOM KITCHEN,MANHATTAN,YORK AVENUE,Chinese,12.0,A,11/25/2014,high income
HOT OFF THE PRESS,QUEENS,NEW YORK TIMES PLZ,American,9.0,A,06/10/2015,medium income
PIZZA PETE'S,MANHATTAN,COLUMBUS AVENUE,Pizza,13.0,A,01/21/2016,high income
CEETAY,BRONX,ALEXANDER AVENUE,Japanese,7.0,A,10/12/2013,low income
SUN FUNG CHINESE RESTAURANT,BRONX,MARCY PLACE,Chinese,7.0,A,10/04/2016,low income
PIZZA BY CERTE,MANHATTAN,EAST   56 STREET,Pizza,10.0,A,10/07/2014,high income
SAMMY'S ORIGINAL SHRIMP BOX,BRONX,CITY ISLAND AVENUE,Seafood,7.0,A,04/07/2016,medium income
GOOD FELLAS PIZZA,QUEENS,40 AVENUE,Pizza,12.0,A,04/01/2016,medium income
TRUMP BAR,MANHATTAN,5 AVENUE,American,12.0,A,08/09/2017,high income
NEW YORK DINER,QUEENS,NORTHERN BOULEVARD,American,12.0,A,10/01/2014,medium income
NICE MATIN,MANHATTAN,WEST   79 STREET,American,10.0,A,07/07/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,12.0,A,12/19/2016,high income
TASTY HAND-PULLED NOODLES,MANHATTAN,DOYERS STREET,Chinese,20.0,B,01/14/2015,high income
BUKHARA GRILL,MANHATTAN,EAST   49 STREET,Indian,13.0,A,06/17/2016,high income
PICCOLO CAFE,MANHATTAN,AMSTERDAM AVENUE,Italian,9.0,A,03/25/2015,high income
HARNEY & SONS TEA,MANHATTAN,BROOME STREET,CafÃ©/Coffee/Tea,12.0,A,06/16/2014,high income
DORRIAN'S RED HAND RESTAURANT,MANHATTAN,2 AVENUE,Irish,12.0,A,03/03/2016,high income
DONNA MARGHERITIA,MANHATTAN,2 AVENUE,Italian,10.0,A,12/28/2015,high income
DUNKIN' DONUTS,MANHATTAN,1 AVENUE,Donuts,7.0,A,12/08/2015,high income
ACE BAR,MANHATTAN,EAST    5 STREET,American,11.0,A,02/17/2015,medium income
MCDONALD'S,BRONX,WESTCHESTER AVENUE,Hamburgers,9.0,A,11/12/2015,low income
STARBUCKS,MANHATTAN,EAST   51 STREET,CafÃ©/Coffee/Tea,9.0,A,05/13/2015,high income
CARIDAD RESTAURANT,BRONX,GRAND CONCOURSE,Spanish,11.0,A,12/14/2016,low income
BROTHER'S RESTAURANT,BRONX,MORRIS AVENUE,Chinese,10.0,A,11/10/2015,low income
ROLLERJAM USA,STATEN ISLAND,RICHMOND VALLEY ROAD,American,12.0,A,05/11/2016,medium income
EMPIRE KING RESTAURANT,BRONX,BOSTON ROAD,Chinese,12.0,A,10/20/2016,low income
BIRYANI AND CHAT,QUEENS,KISSENA BOULEVARD,Indian,5.0,A,12/20/2016,low income
OLD JOHN'S LUNCHEONETTE,MANHATTAN,WEST   67 STREET,American,8.0,A,03/02/2015,high income
CHARLEY MOM KITCHEN,MANHATTAN,YORK AVENUE,Chinese,9.0,A,04/20/2016,high income
HOT SHOTZ SPORTS BAR I,STATEN ISLAND,AMBOY ROAD,American,9.0,A,06/01/2016,medium income
SALUGGI'S,MANHATTAN,CHURCH STREET,Italian,11.0,A,07/05/2014,high income
BISTRO LE STEAK,MANHATTAN,3 AVENUE,French,12.0,A,10/08/2016,high income
BUA,MANHATTAN,ST MARKS PLACE,American,15.0,B,02/01/2017,medium income
SUBWAY,QUEENS,BROADWAY,Sandwiches,10.0,A,08/04/2015,high income
TERROIR TRIBECA,MANHATTAN,HARRISON STREET,Italian,10.0,A,05/12/2015,high income
ESSEN,MANHATTAN,MADISON AVENUE,American,4.0,A,06/17/2016,high income
STARBUCKS,MANHATTAN,2 AVENUE,CafÃ©/Coffee/Tea,12.0,A,08/21/2014,high income
AKI SUSHI,MANHATTAN,YORK AVE,Japanese,17.0,B,02/25/2015,high income
INASE SUSHI RESTAURANT,MANHATTAN,1 AVENUE,Japanese,7.0,A,07/01/2017,high income
SUSHI YASU,QUEENS,AUSTIN STREET,Japanese,11.0,A,07/22/2015,medium income
SUPPER,MANHATTAN,EAST    2 STREET,Italian,13.0,A,08/16/2016,medium income
GEORGE KEELEY,MANHATTAN,AMSTERDAM AVENUE,American,11.0,A,02/28/2014,high income
THAI POT,QUEENS,QUEENS BLVD,Thai,0.0,Z,07/07/2017,medium income
MAGNOLIA BAKERY,MANHATTAN,EAST   42 STREET,Bakery,10.0,A,09/22/2016,high income
AMERICAN BAR,MANHATTAN,1 AVENUE,American,10.0,A,10/05/2016,high income
CHIU HONG BAKERY,MANHATTAN,MOTT STREET,Bakery,12.0,A,05/25/2017,high income
BELLE HARBOR STEAKHOUSE,QUEENS,BEACH  116 STREET,Steak,10.0,A,03/07/2015,medium income
TERROIR TRIBECA,MANHATTAN,HARRISON STREET,Italian,12.0,A,06/09/2017,high income
RINCONCITO TEPEYAC,BRONX,EAST  138 STREET,Mexican,53.0,C,08/28/2015,low income
CASSIANO'S PIZZA,MANHATTAN,3 AVENUE,Pizza,11.0,A,02/23/2017,high income
BILLY'S BAKERY,MANHATTAN,FRANKLIN STREET,Bakery,13.0,A,08/18/2017,high income
SUNRISE COFFEE SHOP,QUEENS,PARSONS BOULEVARD,American,19.0,B,08/06/2015,low income
NUCCI'S SOUTH,STATEN ISLAND,ARTHUR KILL ROAD,Italian,10.0,A,01/28/2015,medium income
BANTRY BAY PUBLICK HOUSE,QUEENS,GREENPOINT AVENUE,Irish,9.0,A,02/18/2015,medium income
SALUTE KOSHER RESTAURANT,QUEENS,108 STREET,Russian,12.0,A,05/13/2015,medium income
EL RANCHITO DE DAISY,QUEENS,150 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5.0,A,10/04/2016,low income
CAFFE NAPOLI,MANHATTAN,HESTER STREET,Italian,14.0,B,04/13/2017,high income
WHITMAN'S,MANHATTAN,EAST    9 STREET,American,14.0,B,12/13/2014,medium income
SCALINATELLA RESTAURANT,MANHATTAN,EAST   61 STREET,Italian,12.0,A,05/26/2017,high income
APOTHEKE/CHEMIST,MANHATTAN,DOYERS STREET,American,11.0,A,07/24/2014,high income
RIVIERA RISTORANTE,QUEENS,UTOPIA PARKWAY,Italian,13.0,A,05/17/2016,medium income
NORTHERN DUMPLING KING,QUEENS,MAIN STREET,Chinese,12.0,A,07/14/2015,low income
LA BOITE EN BOIS,MANHATTAN,WEST   68 STREET,French,33.0,C,03/02/2017,high income
DOMINO'S,BRONX,EAST TREMONT AVENUE,Pizza,12.0,A,05/19/2015,low income
MILLE-FEUILLE BAKERY,MANHATTAN,BROADWAY,French,10.0,A,09/04/2015,high income
SUSHI X,QUEENS,NORTHERN BOULEVARD,Japanese,12.0,A,03/31/2015,medium income
PHOENIX,MANHATTAN,EAST   13 STREET,American,8.0,A,02/24/2015,medium income
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),MANHATTAN,CENTRAL PARK WEST,American,12.0,A,05/24/2016,high income
STARBUCKS,MANHATTAN,WEST BROADWAY,CafÃ©/Coffee/Tea,5.0,A,05/25/2016,high income
PUBLIC HOUSE,MANHATTAN,3 AVENUE,American,8.0,A,06/11/2015,high income
LE PAIN QUOTIDIEN,MANHATTAN,1 AVENUE,Sandwiches,2.0,A,02/08/2017,high income
SILVER STAR RESTAURANT,MANHATTAN,2 AVENUE,American,9.0,A,09/21/2016,high income
SUBWAY,QUEENS,KISSENA BLVD,Sandwiches,5.0,A,04/29/2015,low income
CON EDISON/ THE LEARNING CENTER,QUEENS,VERNON BOULEVARD,American,12.0,A,09/30/2014,medium income
DOMINO'S,MANHATTAN,CHURCH STREET,Pizza,5.0,A,09/16/2014,high income
ANDY'S DELI,MANHATTAN,BROADWAY,American,9.0,P,07/17/2014,high income
MARGHERITA'S PIZZA,BRONX,EAST  163 STREET,Pizza,12.0,A,10/14/2015,low income
DARO'S PIZZA,QUEENS,KISSENA BOULEVARD,Pizza,12.0,A,01/18/2017,low income
CRISTINA DELI,QUEENS,150TH ST,Delicatessen,7.0,A,12/23/2014,medium income
CASA ASIA,QUEENS,14 AVENUE,Chinese/Japanese,12.0,A,01/19/2017,medium income
FOO HING KITCHEN,BRONX,EAST  138 STREET,Chinese,12.0,A,03/03/2016,low income
NEW MANDARIN COURT,MANHATTAN,MOTT STREET,Chinese,12.0,A,04/28/2015,high income
FEI MA,MANHATTAN,AVENUE A,Chinese,13.0,A,11/22/2016,medium income
PROMESA CAFETERIA,BRONX,CLAY AVENUE,American,20.0,B,03/05/2015,low income
MARK FORGIONE,MANHATTAN,READE STREET,American,6.0,A,01/14/2016,high income
CELLO WINE BAR,MANHATTAN,EAST   53 STREET,American,12.0,A,08/13/2015,high income
NARITA JAPANESE RESTAURANT,QUEENS,70 ROAD,Japanese,11.0,A,08/10/2015,medium income
PRET A MANGER,MANHATTAN,LEXINGTON AVENUE,Sandwiches,8.0,A,01/08/2016,high income
THE PARLOUR,MANHATTAN,WEST   86 STREET,American,20.0,B,10/18/2016,high income
ELI'S TABLE,MANHATTAN,3 AVENUE,American,13.0,A,11/21/2016,high income
SOMTUM DER,MANHATTAN,AVENUE A,Thai,7.0,A,04/24/2017,medium income
TOWNHOUSE OF NY,MANHATTAN,EAST   58 STREET,American,10.0,A,05/13/2015,high income
SPRINKLES CUPCAKES,MANHATTAN,LEXINGTON AVENUE,Bakery,9.0,P,08/17/2016,high income
RITZ DINER,MANHATTAN,1 AVENUE,American,12.0,A,05/12/2017,high income
THE MET GRILL/DOUBLE TREE HOTEL,MANHATTAN,LEXINGTON AVENUE,American,22.0,B,06/02/2014,high income
FONDA,MANHATTAN,AVENUE B,Mexican,14.0,B,06/24/2014,medium income
CASA ASIA,QUEENS,14 AVENUE,Chinese/Japanese,4.0,A,06/19/2014,medium income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,CafÃ©/Coffee/Tea,7.0,A,12/04/2014,high income
TOM'S RESTAURANT,BROOKLYN,WASHINGTON AVENUE,American,9.0,A,03/05/2015,medium income
SMALL KITCHEN,QUEENS,VERNON BOULEVARD,Sandwiches/Salads/Mixed Buffet,12.0,A,06/27/2017,medium income
EASTEND BAR & GRILL,MANHATTAN,1 AVENUE,American,24.0,B,10/09/2014,high income
DANIEL,MANHATTAN,EAST   65 STREET,French,9.0,A,07/20/2017,high income
LA TRAVIATA PIZZA,MANHATTAN,WEST   68 STREET,Pizza,5.0,A,11/18/2014,high income
THE SOCIAL BUTTERFLY,BROOKLYN,ATLANTIC AVENUE,American,4.0,A,08/17/2017,medium income
ROSA MEXICANO,MANHATTAN,FIRST AVENUE,Mexican,13.0,A,10/05/2016,high income
EVE'S LOUNGE,BROOKLYN,WASHINGTON AVENUE,American,9.0,A,07/07/2017,medium income
CAFE BOULUD/BAR PLEIADES,MANHATTAN,EAST   76 STREET,French,12.0,A,08/15/2014,high income
CAFE LALO,MANHATTAN,WEST   83 STREET,CafÃ©/Coffee/Tea,12.0,A,08/24/2015,high income
MCDONALD'S,MANHATTAN,CHAMBERS STREET,American,3.0,A,10/30/2014,high income
WOODROWS,MANHATTAN,MURRAY STREET,American,10.0,A,04/08/2015,high income
ROCCO'S ITALIAN SAUSAGES & PHILLY CHEESESTEAKS,QUEENS,NORTHERN BOULEVARD,Sandwiches,9.0,A,05/22/2015,medium income
PALM TOO,MANHATTAN,2 AVENUE,American,26.0,B,07/20/2016,high income
HAPPY GARDEN,BRONX,SPOFFORD AVE,Chinese,10.0,A,06/08/2017,low income
AMERICAN HERO & SUB'S,QUEENS,44 DRIVE,Sandwiches,9.0,A,08/12/2015,medium income
STARBUCKS,MANHATTAN,1 AVENUE,CafÃ©/Coffee/Tea,5.0,A,12/08/2015,high income
STARBUCKS,MANHATTAN,1 AVENUE,CafÃ©/Coffee/Tea,5.0,A,12/08/2015,medium income
PINKBERRY,MANHATTAN,BROADWAY,"Ice Cream, Gelato, Yogurt, Ices",12.0,A,08/03/2016,high income
5 NAPKIN BURGER,MANHATTAN,BROADWAY,Hamburgers,16.0,B,03/19/2015,high income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,13.0,A,12/03/2014,high income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,13.0,A,12/03/2014,medium income
BAILEY'S CORNER PUB,MANHATTAN,YORK AVENUE,Irish,12.0,A,04/14/2016,high income
LITTLE CAESARS,BRONX,WEST MOUNT EDEN AVENUE,Pizza,3.0,A,02/23/2017,low income
CEETAY,BRONX,ALEXANDER AVENUE,Japanese,13.0,A,08/01/2016,low income
LOTOS CLUB GRILL ROOM,MANHATTAN,EAST   66 STREET,American,9.0,A,01/17/2017,high income
5 BURRO CAFE,QUEENS,AUSTIN STREET,Mexican,28.0,C,10/28/2016,medium income
PICK-A-BAGEL/DUMPLING ROOM,MANHATTAN,WEST END AVENUE,American,7.0,A,06/28/2017,high income
DELICIAS MANABITAS RESTAURANT,QUEENS,35 AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,03/07/2016,medium income
MY MOST FAVORITE FOOD,MANHATTAN,WEST   72 STREET,Jewish/Kosher,8.0,A,05/19/2016,high income
UMBERTO'S CLAM HOUSE,MANHATTAN,MULBERRY STREET,Italian,12.0,A,04/28/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,American,13.0,A,01/06/2017,high income
FORTY CARROTS,MANHATTAN,3 AVENUE,American,27.0,B,02/09/2015,high income
JAIYA THAI & ORIENTAL RESTAURANT,MANHATTAN,2 AVENUE,Thai,10.0,A,04/17/2014,high income
STARBUCKS,MANHATTAN,BROADWAY,CafÃ©/Coffee/Tea,7.0,A,09/26/2016,high income
MCDONALD'S,BRONX,EAST TREMONT AVENUE,Hamburgers,9.0,A,08/07/2014,low income
BODRUM,MANHATTAN,AMSTERDAM AVENUE,Mediterranean,12.0,A,09/14/2015,high income
DON FILIPPO RESTAURANT,MANHATTAN,LEXINGTON AVENUE,Italian,7.0,A,01/20/2015,high income
THE LEOPARD AT DES ARTISTES,MANHATTAN,WEST   67 STREET,Italian,2.0,A,11/15/2016,high income
5 BURRO CAFE,QUEENS,AUSTIN STREET,Mexican,11.0,A,07/13/2017,medium income
SUBWAY,MANHATTAN,BROADWAY,Sandwiches/Salads/Mixed Buffet,8.0,A,01/21/2015,high income
MCDONALD'S,BRONX,BRUCKNER BOULEVARD,Hamburgers,9.0,A,07/05/2017,low income
KN MI DELICIA BAKERY,BRONX,3 AVENUE,Bakery,12.0,A,05/10/2016,low income
DRAGON SEA,BRONX,EAST  180 STREET,Chinese,9.0,A,11/12/2014,low income
MOTI MAHAL DELUX,MANHATTAN,1 AVENUE,Indian,83.0,C,08/17/2016,high income
N.Y. ACADEMY OF SCIENCE,MANHATTAN,GREENWICH STREET,American,7.0,A,10/13/2015,high income
CASA LEVER,MANHATTAN,PARK AVENUE,Italian,12.0,A,11/10/2015,high income
SUBWAY,MANHATTAN,LEXINGTON AVENUE,Sandwiches/Salads/Mixed Buffet,2.0,A,02/05/2015,high income
