INCOME LEVEL,DBA,STREET
high income,THE EAST POLE,EAST   65 STREET
high income,SOCIETY OF ILLUSTRATORS,EAST   63 STREET
high income,SUBWAY,1 AVENUE
high income,ORIGINAL RAY'S PIZZA,LEXINGTON AVENUE
high income,BAMBOO SUSHI,1 AVENUE
high income,PERRINE,EAST   61 STREET
high income,DONNA MARGHERITIA,2 AVENUE
high income,DAILY BAGEL,1 AVENUE
high income,QUANTUM LEAP,1 AVENUE
high income,ALTESI RISTORANTE,EAST   64 STREET
high income,FIG & OLIVE,LEXINGTON AVENUE
high income,STARBUCKS,3 AVENUE
high income,ROCKEFELLER UNIVERSITY - EMPLOYEE DINING,YORK AVENUE
high income,GREGORYS COFFEE,1 AVENUE
high income,ELIM DELI CAFE,LEXINGTON AVENUE
high income,VAUCLUSE,PARK AVENUE
high income,GINZA,LEXINGTON AVENUE
high income,AMERICAS CAFE & GRILL,3 AVENUE
high income,DONOHUE'S STEAK HOUSE,LEXINGTON AVENUE
high income,ZAVO,3 AVENUE
high income,KOREAN EXPRESS,LEXINGTON AVENUE
high income,SUBWAY INN,2 AVENUE
high income,EATILY FOODS,PARK AVENUE
high income,SUBWAY,2 AVENUE
high income,EATILY FOODS,PARK AVENUE
high income,GOURMET BAGEL,LEXINGTON AVENUE
high income,PRIMOLA RESTAURANT,SECOND AVENUE
high income,AHANA JAPANESE FUSION CUISINE,1 AVENUE
high income,ROCKEFELLER UNIVERSITY - EMPLOYEE DINING,YORK AVENUE
high income,1 EAST 66TH STREET KITCHEN,EAST   66 STREET
high income,TOTOYA,1 AVENUE
high income,ESPRESSO MATTO,EAST   68 STREET
high income,LUNETTA PIZZA,1 AVENUE
high income,HOTEL PIERRE-MAIN KITCHEN,EAST   61 STREET
high income,LENWICH 68TH,1 AVENUE
high income,FLEMING BY LE BILBOQUET,EAST   62 STREET
high income,VAUCLUSE,PARK AVENUE
high income,LOTOS CLUB GRILL ROOM,EAST   66 STREET
high income,ANATOLIA MEDITERRENEAN CUISINE,EAST   62 STREET
high income,CHAMPION COFFEE,EAST   67 STREET
high income,PIZZA PARK,FIRST AVENUE
high income,PATSY'S PIZZERIA,1 AVENUE
high income,JUICE GENERATION,LEXINGTON AVENUE
high income,GREGORY'S COFFEE,LEXINGTON AVENUE
high income,AGRA RESTAURANT,LEXINGTON AVENUE
high income,DANCING CRANE EXPRESS (Arsenal),5 AVENUE
high income,COZY CORNER/CHICKEN LOVER,2 AVENUE
high income,THE COSMOPOLITAN CLUB,EAST   66 STREET
high income,BAMBOO SUSHI,1 AVENUE
high income,ALTESI RISTORANTE,EAST   64 STREET
high income,GREEK EATS,1 AVENUE
high income,GOTHAM CAFE,2 AVENUE
high income,THE EAST POLE,EAST   65 STREET
high income,KOREAN EXPRESS,LEXINGTON AVENUE
high income,AMERICAS CAFE & GRILL,3 AVENUE
high income,SERAFINA GRILL,EAST 61 ST STREET
high income,EAT HERE NOW,LEXINGTON AVENUE
high income,VERITABLE,2 AVENUE
high income,MAJORELLE,EAST   63 STREET
high income,STARBUCKS,1 AVENUE
high income,BAGEL WORKS,FIRST AVENUE
high income,ORIGINAL RAY'S PIZZA,LEXINGTON AVENUE
high income,BARRY'S BOOTCAMP,2 AVENUE
high income,DANCING CRANE CAFE,5 AVENUE
high income,GENES @ BARNEYS,MADISON AVENUE
high income,AU BON PAIN,EAST   68 STREET
high income,AJISAI,LEXINGTON AVENUE
high income,LE BOTANISTE,LEXINGTON AVENUE
high income,JAVA GIRL,EAST   66 STREET
high income,16 HANDLES,1 AVENUE
high income,JOE & THE JUICE,LEXINGTON AVENUE
high income,SOPHIES CUBAN CUISINE,EAST   68 STREET
high income,PURE GREEN,3 AVENUE
