DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
SAN GERMAN CUCHIFRITO,TIFFANY STREET,low income,Bronx,10459,Latin American,13,A
BAMBOO SUSHI,1 AVENUE,high income,Manhattan,10065,Japanese,11,P
DORRIAN'S RED HAND RESTAURANT,2 AVENUE,high income,Manhattan,10028,Irish,8,A
SIRENAS,JEROME AVENUE,low income,Bronx,10453,Tex-Mex,0,A
POP'S COFFEE DINER,KISSENA BOULEVARD,low income,Queens,11355,American,12,A
SUSHI AKIO,YELLOWSTONE BOULEVARD,medium income,Queens,11375,Japanese,7,A
STARBUCKS,PARK AVENUE,high income,Manhattan,10172,Coffee/Tea,10,A
POLLO INKA PERU,QUEENS BOULEVARD,medium income,Queens,11375,Peruvian,13,A
ROSA MEXICANO,COLUMBUS AVENUE,high income,Manhattan,10023,Mexican,12,A
HOTEL CHOCOLAT,LEXINGTON AVE,high income,Manhattan,10017,Coffee/Tea,10,A
FRIENDLY RESTAURANT,40TH AVE,medium income,Queens,11101,Chinese,4,A
CLINTON HALL,EAST   51 STREET,high income,Manhattan,10022,American,12,A
BURNSIDE BEER & WINE CAFETERIA,EAST BURNSIDE AVENUE,low income,Bronx,10457,Other,11,A
ANTHONY'S LUNCH ROOM,KISSENA BLVD,low income,Queens,11355,American,8,A
BROOKLYN HOMESLICE PIZZERIA,VANDERBILT AVENUE,medium income,Brooklyn,11238,Italian,12,A
173 WEBSTER CAFE,WEBSTER AVENUE,low income,Bronx,10457,Latin American,7,A
ROYALE,AVENUE C,medium income,Manhattan,10009,American,21,B
LUNELLA RISTORANTE,MULBERRY STREET,high income,Manhattan,10013,Italian,20,P
SHUN LEE,WEST   65 STREET,high income,Manhattan,10023,Chinese,22,B
CHINA KING OGDEN RESTAURANT,OGDEN AVENUE,low income,Bronx,10452,Chinese,3,A
AL HORNO LEAN MEXICAN,2 AVENUE,high income,Manhattan,10022,Mexican,25,B
LEVAIN BAKERY,3 AVENUE,high income,Manhattan,10028,Bakery Products/Desserts,2,A
CRANBERRY,42ND RD,medium income,Queens,11101,American,11,A
YVES,GREENWICH STREET,high income,Manhattan,10013,American,4,A
TAO RESTAURANT,EAST   58 STREET,high income,Manhattan,10022,Asian/Asian Fusion,4,A
REGALO DE DIOS UNISEX SALON,EAST  138 STREET,low income,Bronx,10454,American,12,A
PATSY'S PIZZERIA RESTAURANT,EAST   60 STREET,high income,Manhattan,10022,Italian,10,A
KE LAI LE ASIAN CUISINE,WASHINGTON AVENUE,medium income,Brooklyn,11238,Asian/Asian Fusion,10,A
WENDY'S,EAST  149 STREET,low income,Bronx,10455,Sandwiches,5,A
WILLIAM GREENBERG JR DESSERTS,MADISON AVENUE,high income,Manhattan,10028,Coffee/Tea,11,A
TACOS EL TORITO VERSATILE,MELROSE AVENUE,low income,Bronx,10455,Tex-Mex,8,A
DILL AND PARSLEY,MADISON AVENUE,high income,Manhattan,10017,Mediterranean,2,A
THE NEW AMITY RESTAURANT,MADISON AVENUE,high income,Manhattan,10028,American,9,A
SOHO CIGAR BAR,WATTS STREET,high income,Manhattan,10013,American,0,A
FUSHA FUSION,1 AVENUE,high income,Manhattan,10022,Asian/Asian Fusion,7,A
STARBUCKS,BROADWAY,high income,Manhattan,10023,Coffee/Tea,5,A
David Burke Tavern,EAST   62 STREET,high income,Manhattan,10065,American,12,A
TAMASHII RAMEN,VERNON BLVD,medium income,Queens,11101,Japanese,10,A
ETHOS GALLERY,1 AVENUE,high income,Manhattan,10022,Greek,38,N
La Colombe,VANDAM STREET,high income,Manhattan,10013,Coffee/Tea,4,A
KING JADE GARDEN,EAST   55 STREET,high income,Manhattan,10022,Chinese,12,A
POMODORO RISTORANTE,COLUMBUS AVENUE,high income,Manhattan,10023,Italian,10,A
SING SING KARAOKE,AVENUE A,medium income,Manhattan,10009,American,11,A
PINK FOREST,AUSTIN ST,medium income,Queens,11375,Coffee/Tea,7,A
STARBUCKS,FLATBUSH AVENUE,medium income,Brooklyn,11238,Coffee/Tea,2,A
LOKAL,COLUMBUS AVENUE,high income,Manhattan,10024,Mediterranean,11,A
NEW PEKING,CLASSON AVENUE,medium income,Brooklyn,11238,Chinese,3,Z
BIG NOSE KATES,ARTHUR KILL ROAD,medium income,Staten Island,10309,American,11,A
CAFE OLE RESTAURANT,36 AVENUE,medium income,Queens,11101,Spanish,7,A
DON PANCHO'S STEAK HOUSE,BRUCKNER BOULEVARD,low income,Bronx,10454,Steakhouse,13,A
TOMPKINS SQUARE BAGELS,AVENUE A,medium income,Manhattan,10009,Bagels/Pretzels,13,A
ANTONIO'S PIZZA,FLATBUSH AVENUE,medium income,Brooklyn,11238,Pizza,9,A
CASA ASIA,14 AVENUE,medium income,Queens,11357,Chinese/Japanese,8,A
59E59 BAR,EAST   59 STREET,high income,Manhattan,10022,American,7,A
NISI,MAIN STREET,medium income,Manhattan,10044,American,13,A
MOTT HAVEN BAR & GRILL,3 AVENUE,low income,Bronx,10454,American,12,A
CUCUMBER SUSHI & SALAD BAR,AMBOY ROAD,medium income,Staten Island,10309,Japanese,7,A
CAPRI RISTORANTE PIZZERIA BAR,MULBERRY STREET,high income,Manhattan,10013,Italian,4,C
AMATA,EAST   56 STREET,high income,Manhattan,10022,Italian,12,A
JO JO,EAST   64 STREET,high income,Manhattan,10065,French,10,A
GREENWICH STREET TAVERN,GREENWICH STREET,high income,Manhattan,10013,American,8,A
BROOKLYN SHAWARMA,FULTON STREET,medium income,Brooklyn,11238,Middle Eastern,7,A
MCDONALD'S,EAST  170 STREET,low income,Bronx,10452,Hamburgers,13,A
SUSHI X,NORTHERN BOULEVARD,medium income,Queens,11101,Japanese,10,A
NISH NUSH,READE STREET,high income,Manhattan,10013,Middle Eastern,13,A
BESTIA KITCHEN,EDWARD L GRANT HIGHWAY,low income,Bronx,10452,Spanish,10,A
WESTSIDE RESTAURANT,BROADWAY,high income,Manhattan,10023,American,7,A
U N RESTAURANT,EAST   49 STREET,high income,Manhattan,10017,Chinese,21,B
TU CASA,QUEENS BLVD,medium income,Queens,11375,Spanish,11,A
LIFE HEALTH FITNESS,154TH ST,medium income,Queens,11357,"Juice, Smoothies, Fruit Salads",12,A
NEW PINANG,QUEENS BOULEVARD,medium income,Queens,11375,Asian/Asian Fusion,13,A
KIDDIE CAKES,AMBOY ROAD,medium income,Staten Island,10309,American,5,A
AIRE ANCIENT BATHS,FRANKLIN STREET,high income,Manhattan,10013,"Juice, Smoothies, Fruit Salads",11,A
YARDS BAR & GRILL,SKILLMAN AVE,medium income,Queens,11101,American,9,A
