DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
CARMINE'S,BROADWAY,high income,Manhattan,10024,Italian,0,A
ONE WORLD OBSERVATORY,WORLD TRADE CTR,high income,Manhattan,10007,American,7,A
BRADY'S BAR,2 AVENUE,high income,Manhattan,10028,American,9,A
STARBUCKS COFFEE,MADISON AVENUE,high income,Manhattan,10028,Coffee/Tea,11,A
PASHA PIZZA PITA,CLASSON AVENUE,medium income,Brooklyn,11238,Pizza,10,A
La Patrona,EAST  149 STREET,low income,Bronx,10455,Mexican,17,B
BELLA ROMA PIZZA & PASTA,3 AVENUE,high income,Manhattan,10075,Pizza,2,A
ESTRELLA BRONX RESTAURANT,WEBSTER AVENUE,low income,Bronx,10457,Latin American,27,B
DIG INN,GREENWICH STREET,high income,Manhattan,10013,American,10,A
KENNEDY FRIED CHICKEN,EAST  169 STREET,low income,Bronx,10456,Chicken,7,A
THE MILLING ROOM,COLUMBUS AVENUE,high income,Manhattan,10024,Italian,9,A
EL VALLE RESTAURANT,FEATHERBED LANE,low income,Bronx,10452,Latin American,20,B
DOUBLE DRAGON,EAST  166 STREET,low income,Bronx,10456,Chinese,25,B
MARUZZELLA,FIRST AVENUE,high income,Manhattan,10075,Italian,5,A
DUMPLING GALAXY,MAIN STREET,low income,Queens,11355,Chinese,7,A
THE POINT AFRICAN CARIBBEAN RESTAURANT,WEBSTER AVENUE,low income,Bronx,10457,African,17,B
RUINAS DE COPAN,BROOK AVENUE,low income,Bronx,10455,Spanish,13,A
LA DOLCE PASTRY SHOPPE,ROSSVILLE AVENUE,medium income,Staten Island,10309,Bakery Products/Desserts,9,A
PLAZA TULCINGO RESTAURANT,EAST CLARKE PLACE,low income,Bronx,10452,Mexican,6,A
CHIPOTLE MEXICAN GRILL,BROADWAY,high income,Manhattan,10004,Tex-Mex,13,A
FUJI EAST,MAIN STREET,medium income,Manhattan,10044,Japanese,13,A
HING WONG RESTAURANT,WESTCHESTER AVENUE,low income,Bronx,10455,Chinese,13,A
BAKE CULTURE,BOWERY,high income,Manhattan,10013,Bakery Products/Desserts,3,A
POTBELLY SANDWICH WORKS,PARK AVENUE,high income,Manhattan,10017,Sandwiches/Salads/Mixed Buffet,7,A
MING WONG,WEST BURNSIDE AVENUE,low income,Bronx,10453,Chinese,36,C
SUBWAY,2 AVENUE,high income,Manhattan,10016,Sandwiches,13,A
JUST SALAD,THIRD AVENUE,high income,Manhattan,10028,Salads,2,A
HUDSON MALONE,EAST   53 STREET,high income,Manhattan,10022,American,11,A
FIASCHETTERIA PISTOIA,E 11TH ST,medium income,Manhattan,10009,Italian,13,A
CHUAN ZHU REN,41ST AVE,low income,Queens,11355,Chinese,12,A
NEW HAPPY GARDEN,OGDEN AVENUE,low income,Bronx,10452,Chinese,11,A
LEXINGTON CANDY SHOP,LEXINGTON AVENUE,high income,Manhattan,10028,American,10,A
LENWICH,COLUMBUS AVENUE,high income,Manhattan,10023,American,6,A
FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET,high income,Manhattan,10007,Other,13,A
TAL BAGEL,EAST   86 STREET,high income,Manhattan,10028,Bagels/Pretzels,12,A
CHILLATO,154TH ST,medium income,Queens,11357,Frozen Desserts,7,A
LA ROSA BAKERY,EAST  170 STREET,low income,Bronx,10452,Bakery Products/Desserts,4,A
PIZZA CHEF,CROSS ISLAND PARKWAY,medium income,Queens,11357,Pizza,12,A
MCDONALD'S,JEROME AVENUE,low income,Bronx,10453,Hamburgers,10,A
TRIBECA PARK CAFE,WALKER STREET,high income,Manhattan,10013,Sandwiches,3,A
ADYAR ANANDA BHAVAN,1 AVENUE,high income,Manhattan,10022,Indian,10,A
EAST SIDE BILLIARD,EAST   86 STREET,high income,Manhattan,10028,American,86,C
VILLAGGIO,14TH RD,medium income,Queens,11357,Italian,10,A
GFC CAFE 2,EAST   69 STREET,high income,Manhattan,10021,Coffee/Tea,12,A
MOTTLEY KITCHEN,EAST  140 STREET,low income,Bronx,10454,American,13,A
SUBWAY,QUEENS BOULEVARD,medium income,Queens,11375,Sandwiches,4,A
FOXY JOHN'S,EAST   47 STREET,high income,Manhattan,10017,American,12,A
BROOKLYN DIAMOND COFFEE,EAST   54 STREET,high income,Manhattan,10022,Coffee/Tea,12,A
YUMMY HOUSE,45TH AVE,low income,Queens,11355,Chinese,12,A
PATSYS PIZZERIA,WEST   74 STREET,high income,Manhattan,10023,Pizza,6,A
BAR CHUKO,VANDERBILT AVENUE,medium income,Brooklyn,11238,Japanese,11,A
PAN-TASTIC,NORTHERN BOULEVARD,medium income,Queens,11101,Korean,11,A
PICK A BAGEL,LEXINGTON AVENUE,high income,Manhattan,10065,Bagels/Pretzels,10,A
JORA RESTAURANT AND BAR,11TH ST,medium income,Queens,11101,Peruvian,12,A
PAPA YE RESTAURANT,MCCLELLAN STREET,low income,Bronx,10456,African,20,B
LEGEND,WEST   72 STREET,high income,Manhattan,10023,Chinese,5,A
INDIAN TANDOOR OVEN,EAST   83 STREET,high income,Manhattan,10028,Indian,12,A
PROJECT BRUNCH,ARTHUR KILL ROAD,medium income,Staten Island,10309,American,11,A
SMITH & WOLLENSKY,EAST   49 STREET,high income,Manhattan,10017,American,11,A
DOMINICAN FLAVORS,BRUCKNER BOULEVARD,low income,Bronx,10454,Spanish,9,A
Haven Cafe,MOTT STREET,high income,Manhattan,10013,Coffee/Tea,10,A
REGENCY WHIST CLUB,EAST   67 STREET,high income,Manhattan,10065,American,10,A
BELLA LUNA,COLUMBUS AVENUE,high income,Manhattan,10024,Italian,13,A
BLOOMBERG 731 LEX,LEXINGTON AVENUE,high income,Manhattan,10022,American,4,A
DOUGHNUT PLANT,EAST   42 STREET,high income,Manhattan,10017,Donuts,10,A
ANTIQUE GARAGE TRIBECA,CHURCH STREET,high income,Manhattan,10013,Turkish,11,A
ANGIOLINA'S RESTAURANT,JEROME AVENUE,low income,Bronx,10452,Spanish,11,A
RUNNING COOL RESTAURANT,JEROME AVENUE,low income,Bronx,10453,Caribbean,12,A
SOUTH SHORE SWIMMING CLUB,HYLAN BOULEVARD,medium income,Staten Island,10309,American,12,A
NISHIDA SHO-TEN,EAST   49 STREET,high income,Manhattan,10017,Japanese,12,A
TADKA INDIAN CUISINE,43RD AVE,medium income,Queens,11101,Indian,13,A
STARBUCKS,QUEENS BOULEVARD,medium income,Queens,11375,Coffee/Tea,5,A
MARGARITA'S,AVENUE SAINT JOHN,low income,Bronx,10455,Spanish,9,A
THE DAISY,2 AVENUE,high income,Manhattan,10028,American,8,A
BEARD PAPA'S MIDTOWN,EAST   53 STREET,high income,Manhattan,10022,Donuts,5,A
IMLI,1 AVENUE,high income,Manhattan,10065,Indian,13,A
HIBINO LIC,JACKSON AVENUE,medium income,Queens,11101,Japanese,12,A
HARTLEY'S,PUTNAM AVENUE,medium income,Brooklyn,11238,American,11,A
PETALUMA,1 AVENUE,high income,Manhattan,10021,Italian,9,A
LINDA'S PIZZA,EAST TREMONT AVENUE,low income,Bronx,10457,Pizza,10,A
TONII'S RICE NOODLE,BAYARD STREET,high income,Manhattan,10013,Chinese,9,A
ONE LENOX,1 AVENUE,high income,Manhattan,10065,American,10,A
CASSANDRA'S BAKERY,EAST  167 STREET,low income,Bronx,10456,Bakery Products/Desserts,13,A
D'ANGELO'S PIZZA,QUEENS BOULEVARD,medium income,Queens,11375,Pizza,13,A
AKI SUSHI,YORK AVE,high income,Manhattan,10028,Japanese,33,C
HOTEL CARLYLE,EAST   76 STREET,high income,Manhattan,10021,American,13,A
E.A.T. CAFE,MADISON AVENUE,high income,Manhattan,10028,American,8,A
SALVO'S,YORK AVENUE,high income,Manhattan,10075,Pizza,13,A
BAGEL TALK,AMSTERDAM AVENUE,high income,Manhattan,10024,Bagels/Pretzels,5,A
B FLAT,CHURCH STREET,high income,Manhattan,10013,Japanese,10,A
NICE MATIN,WEST   79 STREET,high income,Manhattan,10024,American,7,A
BARRY'S BOOTCAMP FUEL BAR,YORK ST,high income,Manhattan,10013,"Juice, Smoothies, Fruit Salads",7,A
PETALUMA,1 AVENUE,high income,Manhattan,10021,Italian,12,A
MBJ DOWNTOWN (BMCC cafeteria),CHAMBERS STREET,high income,Manhattan,10007,American,12,A
LISSETT OMAR,EAST  149 STREET,low income,Bronx,10455,Pizza,9,A
FRATELLI PIZZERIA,SEGUINE AVENUE,medium income,Staten Island,10309,Pizza,13,A
LE GOURMET,1 AVENUE,high income,Manhattan,10065,American,10,A
MCDONALD'S,JEROME AVENUE,low income,Bronx,10453,Hamburgers,13,A
AL HORNO LEAN MEXICAN,2 AVENUE,high income,Manhattan,10022,Mexican,12,A
HOKEY POKE-CHICK SHOP,3 AVENUE,high income,Manhattan,10022,Middle Eastern,10,A
MEI LAI WAH COFFEE SHOP,BAYARD STREET,high income,Manhattan,10013,Chinese,25,B
COLONY CLUB,PARK AVENUE,high income,Manhattan,10065,American,12,A
AMSTERDAM ALE HOUSE,AMSTERDAM AVENUE,high income,Manhattan,10024,American,15,B
REYNA RESTAURANT,UNIVERSITY AVENUE,low income,Bronx,10453,Spanish,36,N
CAFE GRUMPY,LEXINGTON AVE,high income,Manhattan,10017,Coffee/Tea,2,P
MOKJA,1 AVENUE,high income,Manhattan,10028,Korean,12,A
INDIAN TANDOOR OVEN,EAST   83 STREET,high income,Manhattan,10028,Indian,11,A
LOTTE NEW YORK PALACE -POMME PALAIS,MADISON AVENUE,high income,Manhattan,10022,French,5,A
TAQUERIA EL CEBOLLIN,SOUTHERN BOULEVARD,low income,Bronx,10455,Spanish,15,B
EL NUEVO PATIO,EDWARD L GRANT HIGHWAY,low income,Bronx,10452,Spanish,9,A
CARAVAN OF DREAMS,EAST    6 STREET,medium income,Manhattan,10009,Vegetarian,7,A
STARBUCKS,3 AVENUE,high income,Manhattan,10016,Coffee/Tea,11,A
RIO KITCHEN AND WINE,SAINT JOHNS PLACE,medium income,Brooklyn,11238,American,12,A
PRET A MANGER,BROADWAY,high income,Manhattan,10038,Soups/Salads/Sandwiches,7,A
GOOD ENOUGH TO EAT (A.G. BISTRO),COLUMBUS AVENUE,high income,Manhattan,10024,American,10,A
QUEENS BAGELS & DELICATESSEN,METROPOLITAN AVE,medium income,Queens,11375,Other,12,A
MIKE'S BISTRO,EAST   54 STREET,high income,Manhattan,10022,Jewish/Kosher,7,A
PORTOVINO,ASCAN AVENUE,medium income,Queens,11375,Italian,12,A
STARBUCKS (Store #50483),JACKSON AVE,medium income,Queens,11101,Coffee/Tea,5,A
COCO FRESH TEA & JUICE,LEXINGTON AVENUE,high income,Manhattan,10010,Coffee/Tea,7,A
CAFFE BUON GUSTO,EAST   77 STREET,high income,Manhattan,10075,Italian,9,A
BENTON CAFE,EAST   45 STREET,high income,Manhattan,10017,Japanese,13,A
JIB CATERING,34TH ST,medium income,Queens,11101,American,8,A
WILLIAMSBURG PIZZA,2 AVENUE,high income,Manhattan,10028,Pizza,11,A
MILK BAR,VANDERBILT AVENUE,medium income,Brooklyn,11238,Coffee/Tea,7,A
OLYMPIC FLAME DINER,WEST   60 STREET,high income,Manhattan,10023,American,7,A
GROUP M,GREENWICH STREET,high income,Manhattan,10007,American,4,A
LOCO COCO,LEXINGTON AVENUE,high income,Manhattan,10065,"Juice, Smoothies, Fruit Salads",4,A
MCDONALD'S,QUEENS BOULEVARD,medium income,Queens,11373,Hamburgers,12,A
HUMMUS PLACE,AMSTERDAM AVENUE,high income,Manhattan,10023,Middle Eastern,12,A
TOASTIES,3 AVENUE,high income,Manhattan,10022,American,0,A
PIG HEAVEN,3 AVENUE,high income,Manhattan,10028,Chinese,13,A
THE SWEET SHOP NYC,EAST   73 STREET,high income,Manhattan,10021,American,11,A
BAKE CULTURE,BOWERY,high income,Manhattan,10013,Bakery Products/Desserts,5,A
NEW GOLDEN DRAGON CHINESE,BOSTON ROAD,low income,Bronx,10456,Chinese,3,A
LEVAIN BAKERY,WEST   74 STREET,high income,Manhattan,10023,Bakery Products/Desserts,7,A
FAY DA BAKERY,MAIN STREET,low income,Queens,11355,Bakery Products/Desserts,18,B
GINA MEXICANA,EAST   61 STREET,high income,Manhattan,10065,Tex-Mex,9,A
MALA PROJECT,1 AVENUE,medium income,Manhattan,10009,Chinese,9,A
EL FOGON DOMINICANO RESTAURANT,MORRIS AVENUE,low income,Bronx,10456,Latin American,13,A
AKIMOTO SUSHI,CHURCH STREET,high income,Manhattan,10007,Japanese,13,A
STARBUCKS COFFEE,WOODROW ROAD,medium income,Staten Island,10309,Coffee/Tea,5,A
SOFIA WINE BAR,EAST   50 STREET,high income,Manhattan,10022,Pizza,13,A
FIRENZE RISTORANTE,2 AVENUE,high income,Manhattan,10028,Italian,10,A
83 ASIAN,2 AVENUE,high income,Manhattan,10028,Chinese,11,A
HOTEL PIERRE-BANQUET KITCHEN,EAST   61 STREET,high income,Manhattan,10065,American,11,A
SPICE SYMPHONY,EAST   50 STREET,high income,Manhattan,10022,Indian,10,A
ZATGO COFFEE ROOM,LAFAYETTE STREET,high income,Manhattan,10013,Coffee/Tea,5,A
JIMBO'S HAMBURGER PLACE,MELROSE AVENUE,low income,Bronx,10455,Hamburgers,9,A
GRK,LEXINGTON AVENUE,high income,Manhattan,10017,Greek,7,A
BONA CAFE PIZZERIA,WESTCHESTER AVENUE,low income,Bronx,10455,Pizza,11,A
BAYSIDE MARINA SNACK BAR,CROSS ISLAND PARKWAY,medium income,Queens,11360,American,12,A
MAGGIES PLACE,EAST   47 STREET,high income,Manhattan,10017,American,12,A
ESS-A-BAGEL,1 AVENUE,medium income,Manhattan,10009,American,2,A
BAROLO EAST,EAST   49 STREET,high income,Manhattan,10017,Italian,25,N
AREPA FACTORY,AVENUE A,medium income,Manhattan,10009,Latin American,7,A
NIGHT MARKET BBQ,PARSONS BLVD,low income,Queens,11355,Barbecue,15,B
JOE & THE JUICE,PARK AVENUE,high income,Manhattan,10022,"Juice, Smoothies, Fruit Salads",40,C
KAYLAH'S HUT,PROSPECT AVENUE,low income,Bronx,10455,Caribbean,5,A
GRECA,WASHINGTON STREET,high income,Manhattan,10013,Greek,13,A
BARDOLINO PIZZA II,AMSTERDAM AVENUE,high income,Manhattan,10024,Pizza,13,A
AURORA SOHO,BROOME STREET,high income,Manhattan,10013,Italian,8,A
CHOP'T,EAST   56 STREET,high income,Manhattan,10022,Salads,10,A
LA POTENCIA RESTAURANT,JEROME AVENUE,low income,Bronx,10453,Latin American,27,B
PORTOFINO RESTAURANT,CITY ISLAND AVENUE,medium income,Bronx,10464,Italian,12,A
HYATT PLACE,43RD AVE,medium income,Queens,11101,American,13,A
ARTIE'S,CITY ISLAND AVENUE,medium income,Bronx,10464,Italian,2,A
99 CENTS HOT PIZZA,WILLIS AVENUE,low income,Bronx,10455,Pizza,11,A
GONG CHA,EAST   44 STREET,high income,Manhattan,10017,Coffee/Tea,8,A
BOQUERIA,2 AVENUE,high income,Manhattan,10075,Tapas,9,A
MCDONALD'S,BROADWAY,high income,Bronx,10463,Hamburgers,9,A
TEN JIN XEING BEING RESTAURANT,MAIN STREET,low income,Queens,11355,Chinese,13,A
CHINA STAR,JEROME AVENUE,low income,Bronx,10453,Chinese,4,A
JUICY LUCY,AVENUE A,medium income,Manhattan,10009,"Juice, Smoothies, Fruit Salads",12,A
NERAI,EAST   54 STREET,high income,Manhattan,10022,Greek,5,A
JAKE'S DILEMMA,AMSTERDAM AVENUE,high income,Manhattan,10024,American,7,A
ELI ZABAR,MADISON AVENUE,high income,Manhattan,10021,American,2,A
CROWN FRIED CHICKEN,FULTON STREET,medium income,Brooklyn,11233,Chicken,7,A
SUBWAY,BROADWAY,high income,Manhattan,10004,Sandwiches,12,A
THE END ZONE BAR,14 AVENUE,medium income,Queens,11357,American,12,A
GALAGALA NY RESTAURANT,EAST  175 STREET,low income,Bronx,10453,African,10,A
TACO KING,108 STREET,medium income,Queens,11375,Tex-Mex,11,A
TASTY GRILL,150 STREET,medium income,Queens,11357,Greek,13,A
HILLSTONE,EAST   53 STREET,high income,Manhattan,10022,American,12,A
CHIPOTLE MEXICAN GRILL,BROADWAY,high income,Manhattan,10025,Tex-Mex,7,A
STARBUCKS,QUEENS BOULEVARD,medium income,Queens,11375,Coffee/Tea,4,A
MCDONALD'S,3 AVENUE,high income,Bronx,10455,Hamburgers,12,A
FINANCIER PATISSERIE,VANDERBILT AVENUE,high income,Manhattan,10017,Coffee/Tea,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Manhattan,10007,Indian,13,A
COMPADRES 77 MEXICAN RESTAURANT,QUEENS BLVD,medium income,Queens,11375,Mexican,11,A
TEXAS CHICKEN & BURGERS,WESTCHESTER AVENUE,low income,Bronx,10461,Chicken,11,A
LORENZO & MARIA'S KITCHEN,THIRD AVENUE,high income,Manhattan,10028,Continental,7,A
CHUAN ZHU REN,41ST AVE,low income,Queens,11355,Chinese,23,B
ANKA GRILL,LEXINGTON AVENUE,high income,Manhattan,10022,Turkish,26,B
TACOMBI,AMSTERDAM AVENUE,high income,Manhattan,10024,Tex-Mex,10,A
EL VALLE RESTAURANT,MELROSE AVENUE,low income,Bronx,10455,Latin American,12,A
TRUMP BAR,5 AVENUE,high income,Manhattan,10022,American,10,A
COVENHOVEN,CLASSON AVENUE,medium income,Brooklyn,11238,American,11,A
CITI HOSPITALITY,GREENWICH STREET,high income,Manhattan,10013,American,8,A
MR. CHOW TRIBECCA,HUDSON STREET,high income,Manhattan,10013,Chinese,7,A
JOE,COLUMBUS AVENUE,high income,Manhattan,10023,Coffee/Tea,5,A
EMACK & BOLIOS,1 AVENUE,high income,Manhattan,10028,Frozen Desserts,8,A
TRI TIP GRILL,EAST   42 STREET,high income,Manhattan,10017,American,3,Z
JUST SALAD,HUDSON ST,high income,Manhattan,10013,Salads,11,A
COMIC STRIP LIVE,2 AVENUE,high income,Manhattan,10028,American,3,A
GLORIA PIZZA,QUEENS BOULEVARD,medium income,Queens,11375,Pizza,11,A
ORWASHERS,AMSTERDAM AVENUE,high income,Manhattan,10024,Bakery Products/Desserts,5,A
BAGELS & COMPANY,WEST   79 STREET,high income,Manhattan,10024,Jewish/Kosher,3,A
CAFE CORTADITO,EAST    3 STREET,medium income,Manhattan,10009,Latin American,10,A
HAAGEN - DAZS,AMSTERDAM AVENUE,high income,Manhattan,10023,Frozen Desserts,10,A
El Barrio Burritos,FRANKLIN AVENUE,medium income,Brooklyn,11238,Mexican,12,A
BIRYANI AND CHAT,KISSENA BOULEVARD,low income,Queens,11355,Indian,10,A
SUBWAY,QUEENS BLVD,medium income,Queens,11435,Sandwiches,13,A
PITUSA BAKERY,EAST  149 STREET,low income,Bronx,10455,Bakery Products/Desserts,11,A
BLUESTONE LANE,AMSTERDAM AVENUE,high income,Manhattan,10024,Australian,7,A
Raj's Indian Kitchen,QUEENS PLZ S,medium income,Queens,11101,Indian,8,A
PRET A MANGER,BROADWAY,high income,Manhattan,10019,Soups/Salads/Sandwiches,9,A
VIN SUR VINGT,WEST BROADWAY,high income,Manhattan,10007,French,12,A
PYLOS,EAST    7 STREET,medium income,Manhattan,10009,Greek,12,A
CAFE ALICE,EAST   47 STREET,high income,Manhattan,10017,Sandwiches,12,A
GANTRY BAR & KITCHEN,VERNON BLVD,medium income,Queens,11101,American,13,A
CAFE 23,3 AVENUE,high income,Manhattan,10022,American,10,A
CHOP'T,3 AVENUE,high income,Manhattan,10017,Salads,11,A
SPIN,EAST   54 STREET,high income,Manhattan,10022,American,7,A
STARBUCKS,1 AVENUE,high income,Manhattan,10009,Coffee/Tea,7,A
GOURMET BAGEL,LEXINGTON AVENUE,high income,Manhattan,10065,Sandwiches,11,A
SUBWAY,WEST END AVENUE,high income,Manhattan,10023,Sandwiches,12,A
STARBUCKS,3 AVENUE,high income,Brooklyn,11209,Coffee/Tea,10,A
TABLETIME,EAST   42 STREET,high income,Manhattan,10017,American,12,A
SOUTH SHORE SWIMMING CLUB,HYLAN BOULEVARD,medium income,Staten Island,10309,American,20,B
CLEARVIEW PARK (GOLF COURSE),WILLETS POINT BOULEVARD,medium income,Queens,11360,American,12,A
ATEAZ,2 AVENUE,high income,Manhattan,10028,Coffee/Tea,8,A
SUNSHINE CO.,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,12,A
BAR CHUKO,VANDERBILT AVENUE,medium income,Brooklyn,11238,Japanese,9,A
SHINSEN,BOWERY,high income,Manhattan,10013,Japanese,12,A
ESPERANTO RESTAURANT BAR AND JUGO,AVENUE C,medium income,Manhattan,10009,Brazilian,13,P
AUDREY BAKERY & CAFE,CANAL STREET,high income,Manhattan,10013,Bakery Products/Desserts,12,A
STARBUCKS,BROADWAY,high income,Manhattan,10023,Coffee/Tea,8,A
PIETROS,EAST   43 STREET,high income,Manhattan,10017,Italian,4,A
SHOJI,LEONARD STREET,high income,Manhattan,10013,Japanese,12,A
LA ROSA GRILL,RICHMOND VALLEY ROAD,medium income,Staten Island,10309,Chicken,13,A
STARBUCKS COFFEE,3 AVENUE,high income,Manhattan,10017,Coffee/Tea,11,A
MAIDEN LANE,AVENUE B,medium income,Manhattan,10009,American,36,N
MASAKI TERIYAKI & SUSHI,PUTNAM AVENUE,medium income,Brooklyn,11238,Japanese,6,A
IG NIGHT,FOWLER AVE,low income,Queens,11355,Chinese,13,A
TURTLE COVE GOLF CENTER,CITY ISLAND ROAD,medium income,Bronx,10464,American,15,B
BIBI WINECELLAR,EAST    4 STREET,medium income,Manhattan,10009,American,7,A
YI JI SHI MO NOODLE,ELIZABETH STREET,high income,Manhattan,10013,Chinese,8,A
STARBUCKS,LEXINGTON AVENUE,high income,Manhattan,10028,Coffee/Tea,3,A
SUNRISE MART,EAST   41 STREET,high income,Manhattan,10017,Asian/Asian Fusion,10,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,Manhattan,10024,American,9,A
JEF CHINESE,2 AVENUE,high income,Manhattan,10017,Chinese,7,A
CITY VIEW RACQUET CLUB,32 PLACE,medium income,Queens,11101,American,7,A
ZONA TRIBECA MEZCALERIA,GREENWICH STREET,high income,Manhattan,10013,Mexican,21,B
99 CENTS HOT PIZZA,WILLIS AVENUE,low income,Bronx,10455,Pizza,13,A
STARBUCKS,MADISON AVENUE,high income,Manhattan,10022,Coffee/Tea,4,A
CAMPAGNOLA RESTAURANT,1 AVENUE,high income,Manhattan,10021,Italian,26,B
NEW SHENG LI CHINESE RESTAURANT,EAST  167 STREET,low income,Bronx,10456,Chinese,2,A
LA ESTRELLA RESTAURANT,GRAND CONCOURSE,low income,Bronx,10457,Latin American,4,A
ANDREA'S RESTAURANT,EAST  165 STREET,low income,Bronx,10452,Latin American,9,Z
TWO HANDS,MOTT STREET,high income,Manhattan,10013,American,11,A
BENTON,CRESCENT ST,medium income,Queens,11101,Japanese,12,A
DR. SMOOD,BROOME STREET,high income,Manhattan,10013,American,12,A
LOVE GARDEN,EAST  180 STREET,low income,Bronx,10460,Chinese,7,A
LIPS RESTAURANT,EAST   56 STREET,high income,Manhattan,10022,American,7,A
THE CLUB,EAST   55 STREET,high income,Manhattan,10022,American,7,A
MURPHY'S LAW,EAST   70 STREET,high income,Manhattan,10021,Irish,46,C
VIAND CAFE,BROADWAY,high income,Manhattan,10023,American,9,A
CASCARINO'S,10 AVENUE,medium income,Queens,11357,Italian,8,A
STIX RESTAURANT,QUEENS BOULEVARD,medium income,Queens,11375,Jewish/Kosher,7,A
DAI HACHI SUSHI,VERNON BLVD,medium income,Queens,11101,Japanese,10,A
CJ DIAMOND CAFE,COLLEGE POINT BLVD,low income,Queens,11355,Chinese,7,A
KENNEDY FRIED CHICKEN,CROTONA AVENUE,low income,Bronx,10457,Chicken,7,A
EL NUEVO VALLE #2 RESTAURANT LECHONERA,EAST  180 STREET,low income,Bronx,10460,Latin American,10,A
TINY'S AND THE BAR UPSTAIRS,WEST BROADWAY,high income,Manhattan,10013,American,34,C
BECKYS BITES,EAST    7 STREET,medium income,Manhattan,10009,American,7,A
LOS SAZONES LATINO,WOODYCREST AVENUE,low income,Bronx,10452,Latin American,41,C
MON CHER MARKET,BROADWAY,high income,Manhattan,10013,American,25,Z
GRIFFIS FACULTY CLUB,EAST   68 STREET,high income,Manhattan,10065,American,12,A
PANCHO VILLA RESTAURANT,JEROME AVENUE,low income,Bronx,10453,Mexican,12,A
IHOP,EAST  174 STREET,low income,Bronx,10460,Pancakes/Waffles,12,A
CHILO'S,FRANKLIN AVENUE,medium income,Brooklyn,11238,Tex-Mex,10,A
THE WING SOHO,MERCER STREET,high income,Manhattan,10013,American,9,A
WOK WOK RESTAURANT,MOTT STREET,high income,Manhattan,10013,Asian/Asian Fusion,27,B
SPICE,AMSTERDAM AVENUE,high income,Manhattan,10024,Thai,13,A
RED MANGO,QUEENS BOULEVARD,medium income,Queens,11375,Frozen Desserts,12,A
BEIJING STYLE BARBEQUE,BOWNE STREET,low income,Queens,11355,Chinese,60,C
MCDONALD'S,BROADWAY,high income,Manhattan,10003,Hamburgers,9,A
Momokawa,1 AVENUE,high income,Manhattan,10075,Japanese,12,A
ANEJO TRIBECA,WALKER STREET,high income,Manhattan,10013,Mexican,8,A
LOS AMIGOS RESTAURANT,EAST  180 STREET,low income,Bronx,10457,Spanish,13,A
CHEEBURGER CHEEBURGER,QUEENS BOULEVARD,medium income,Queens,11375,Hamburgers,12,A
ELLA KITCHEN AND BAR,COLUMBUS AVENUE,high income,Manhattan,10023,Mediterranean,9,A
DOC WATSONS,2 AVENUE,high income,Manhattan,10075,American,4,A
JING FONG,AMSTERDAM AVENUE,high income,Manhattan,10024,Chinese,17,B
SUSHI GAMA,2 AVENUE,high income,Manhattan,10021,Japanese,12,A
UNCLE PAULS PIZZA NY,VANDERBILT AVENUE,high income,Manhattan,10017,Pizza,8,A
CHAVELA'S,FRANKLIN AVENUE,medium income,Brooklyn,11238,Mexican,11,A
CRAVE FISH BAR,AMSTERDAM AVENUE,high income,Manhattan,10024,American,10,A
FULTON GRAND,FULTON STREET,medium income,Brooklyn,11238,American,8,A
STARBUCKS,VARICK STREET,high income,Manhattan,10013,Coffee/Tea,8,A
RANDALL RESTAURANT,RANDALL AVENUE,low income,Bronx,10474,Spanish,11,A
KEILLY CHINESE FOOD,UTOPIA PKWY,medium income,Queens,11357,Chinese,7,A
CENTRAL MARKET NEW YORK,VANDERBILT AVENUE,high income,Manhattan,10017,Italian,7,A
JOE & THE JUICE GREENWICH ST,GREENWICH STREET,high income,Manhattan,10007,Coffee/Tea,12,A
THE ISLANDS,WASHINGTON AVENUE,medium income,Brooklyn,11238,Caribbean,10,A
CHIPOTLE MEXICAN GRILL,AUSTIN STREET,medium income,Queens,11375,Tex-Mex,11,A
LOVE GARDEN,EAST  180 STREET,low income,Bronx,10460,Chinese,6,A
PICCOLA TRATTORIA,MAIN STREET,medium income,Manhattan,10044,Pizza,11,A
BREAKROOM,BAXTER STREET,high income,Manhattan,10013,Mexican,12,A
AA CHINESE RESTAURANT,EAST BURNSIDE AVENUE,low income,Bronx,10457,Chinese,39,C
SEA BREEE DELI,CITY ISLAND AVENUE,medium income,Bronx,10464,Sandwiches,10,A
KENNEDY FRIED CHICKEN,GRAND CONCOURSE,low income,Bronx,10453,Chicken,0,P
EPICERIE BOULUD,GREENWICH STREET,high income,Manhattan,10007,French,9,A
10 02 LOUNGE AND RESTAURANT,E TREMONT AVE,low income,Bronx,10460,Other,8,A
TESSA,AMSTERDAM AVENUE,high income,Manhattan,10024,Mediterranean,11,A
NICOLA'S RESTAURANT,EAST   84 STREET,high income,Manhattan,10028,Italian,13,A
HOMEMADE TAQUERIA,34 AVENUE,medium income,Queens,11101,Mexican,8,A
MANDUCATIS RUSTICA VIG,VERNON BOULEVARD,medium income,Queens,11101,Italian,6,A
